legislator_id,id,nombres,partido,region,distrito,partido_actual,periodolegis_list,partidos_history
74,74,Jaime Naranjo Ortiz,PS,Región del Maule,18,Partido Socialista,"3,9",PS
132,132,Francisco Bayo Veloso,RN,,,,4,RN
137,137,Eliana Caraball Martínez,DC,,,,"3,4",DC
140,140,Patricio Cornejo Vidaurrázaga,DC,,,,"3,4",DC
150,150,Camilo Escalona Medina,PS,,,,4,PS
151,151,Mario Escobar Urbina,UDI,,,,4,UDI
155,155,José Antonio Galilea Vidaurre,RN,,,,"3,4",RN
158,158,Guido Girardi Lavín,PPD,,,,"3,4",PPD
159,159,Rosa González Román,UDI,,,,"3,4",IND|UDI
161,161,María Pía Guzmán Mena,RN,,,,"3,4",RN
164,164,Carlos Hidalgo González,IND,,,,4,IND
165,165,Gonzalo Ibáñez Santa María,UDI,,,,"3,4",UDI
166,166,Carmen Ibáñez Soto,RN,,,,4,RN
169,169,Víctor Jeame Barrueto,PPD,,,,"3,4",PPD
170,170,Jaime Jiménez Villavicencio,IND,,,,"3,4",DC|IND
172,172,Carlos Kuschel Silva,RN,Región de Los Lagos,26,Renovación Nacional,"3,4,9",RN
173,173,Eduardo Lagos Herrera,NOINFO,,,,4,NOINFO
175,175,Cristián Leay Morán,UDI,,,,"3,4",UDI
176,176,Juan Pablo Letelier Morel,PS,,,,"3,4",PS
177,177,Felipe Letelier Norambuena,PPD,,,,"3,4,8",PPD
178,178,Arturo Longton Guerrero,RN,,,,"3,4",RN
179,179,Pablo Longueira Montes,UDI,,,,"3,4",UDI
181,181,Zarko Luksic Sandoval,DC,,,,"3,4",DC
185,185,María Eugenia Mella Gajardo,DC,,,,4,DC
187,187,Darío Molina Sanhueza,UDI,,,,"3,4",UDI
190,190,Waldo Mora Longa,DC,,,,"3,4",DC
193,193,Pedro Muñoz Aburto,PS,,,,"3,4",PS
195,195,Alejandro Navarro Brain,PS,,,,"3,4",PS
202,202,Cristián Pareto Vergara,IND,,,,4,IND
205,205,Aníbal Pérez Lobos,PPD,,,,"3,4",PPD
206,206,Ramón Pérez Opazo,IND,,,,4,IND
208,208,Víctor Pérez Varela,UDI,,,,"3,4",UDI
209,209,Pablo Prieto Lorca,UDI,,,,4,UDI
211,211,Víctor Manuel Rebolledo González,PPD,,,,4,PPD
213,213,Edgardo Riveros Marín,DC,,,,"3,4",DC
220,220,Edmundo Salas De La Fuente,DC,,,,"3,4",DC
221,221,Leopoldo Sánchez Grunert,PPD,,,,"3,4",PPD
222,222,Rodolfo Seguel Molina,DC,,,,"3,4",DC
224,224,Exequiel Silva Ortiz,DC,,,,"3,4",DC
226,226,Boris Tapia Martínez,DC,,,,4,DC
234,234,Mario Varela Herrera,UDI,,,,4,UDI
239,239,Edmundo Villouta Concha,DC,,,,"3,4",DC
242,242,Néstor Jofré Núñez,,,,,4,
660,660,Manuel Matta Aragay,DC,Región del Maule,18,Partido Demócrata Cristiano,9,DC
800,800,Enrique Accorsi Opazo,PPD,,,,"4,5,6",PPD
801,801,René Aedo Ormeño,RN,,,,5,RN
802,802,Sergio Aguiló Melo,IC,,,,"3,4,5,6,8",PS|IC
803,803,René Alinco Bustos,IND,Región de Aysén del General Carlos Ibáñez del Campo,27,Independientes,"5,6,9",PPD|IND
804,804,Isabel Allende Bussi,PS,,,,"3,4,5",PS
805,805,Claudio Alvarado Andrade,UDI,,,,"3,4,5",UDI
806,806,Pedro Pablo Alvarez-Salamanca Büchi,RN,,,,"3,4,5",RN
807,807,Rodrigo Alvarez Zenteno,UDI,,,,"3,4,5",UDI
808,808,Pedro Araya Guerrero,PRI,,,,"4,5,6",DC|IND|PRI
809,809,Gonzalo Arenas Hödar,UDI,,,,"5,6",UDI
810,810,Gabriel Ascencio Mansilla,DC,Región de Los Lagos,26,Partido Demócrata Cristiano,"3,4,5,6,9",DC
811,811,Ramón Barros Montero,UDI,Región del Libertador General Bernardo O' Higgins,16,Unión Demócrata Independiente,"4,5,6,8,9",UDI
