run,party,n,mean,sd,lo,hi,density_drawn
runA,UDI,30,0.7571,0.0715,0.5239,0.8562,True
runA,EVOP,6,0.7176,0.071,0.6222,0.8274,True
runA,RN,34,0.7418,0.0896,0.5179,0.919,True
runA,DC,15,0.0074,0.2583,-0.4984,0.3307,True
runA,PRad,6,-0.0916,0.1559,-0.248,0.1316,True
runA,IND,13,-0.2625,0.5834,-0.8268,0.9886,True
runA,PS,18,-0.5252,0.11,-0.7159,-0.3155,True
runA,PPD,6,-0.5106,0.1368,-0.7524,-0.3951,True
runA,RD,8,-0.6506,0.0872,-0.8489,-0.589,True
runA,PC,8,-0.6537,0.0306,-0.7094,-0.6269,True
runA,COM,2,-0.7205,0.0119,-0.7289,-0.7121,False
runA,FRVS,1,-0.4629,,-0.4629,-0.4629,False
runA,PEV,1,-0.7081,,-0.7081,-0.7081,False
runA,PH,3,-0.8251,0.0548,-0.8728,-0.7653,False
runA,PL,2,-0.5177,0.0121,-0.5262,-0.5092,False
runA,PRI,1,-0.5562,,-0.5562,-0.5562,False
runB,UDI,31,0.7929,0.1238,0.5578,1.0804,True
runB,EVOP,6,0.6782,0.0939,0.5663,0.8292,True
runB,RN,36,0.6898,0.0918,0.5169,0.9441,True
runB,DC,14,-0.02,0.3007,-0.8958,0.3191,True
runB,PRad,6,-0.1293,0.2286,-0.3668,0.1332,True
runB,IND,11,-0.3206,0.5024,-0.8895,0.5745,True
runB,PS,18,-0.5312,0.0877,-0.6997,-0.3747,True
runB,PPD,7,-0.5309,0.1236,-0.7523,-0.4242,True
runB,RD,10,-0.674,0.0645,-0.7956,-0.6036,True
runB,PC,8,-0.7544,0.0303,-0.798,-0.723,True
runB,COM,1,-0.7908,,-0.7908,-0.7908,False
runB,CS,2,-0.7628,0.014,-0.7728,-0.7529,False
runB,FRVS,1,-0.7081,,-0.7081,-0.7081,False
runB,PEV,1,-1.0405,,-1.0405,-1.0405,False
runB,PH,2,-1.0432,0.1149,-1.1245,-0.962,False
runB,PL,2,-0.5337,0.0346,-0.5582,-0.5093,False
runB,PRI,1,-0.6408,,-0.6408,-0.6408,False
runB,PRO,1,-0.7963,,-0.7963,-0.7963,False
runC,UDI,30,0.6886,0.1911,0.2348,1.0416,True
runC,EVOP,6,0.6785,0.1182,0.4803,0.7954,True
runC,RN,33,0.6424,0.1332,0.4347,1.0493,True
runC,DC,14,-0.0841,0.2973,-0.9241,0.2433,True
runC,PRad,6,-0.186,0.2577,-0.4723,0.0781,True
runC,IND,11,-0.3528,0.4789,-0.8196,0.566,True
runC,PS,18,-0.5707,0.0777,-0.7436,-0.3873,True
runC,PPD,7,-0.6018,0.0815,-0.7392,-0.5078,True
runC,RD,10,-0.7009,0.0255,-0.7375,-0.6578,True
runC,PC,8,-0.8003,0.0204,-0.8391,-0.7804,True
runC,COM,1,-0.7769,,-0.7769,-0.7769,False
runC,CS,1,-0.7386,,-0.7386,-0.7386,False
runC,FRVS,1,-0.5559,,-0.5559,-0.5559,False
runC,PEV,1,-0.881,,-0.881,-0.881,False
runC,PH,2,-0.8784,0.0642,-0.9238,-0.833,False
runC,PL,2,-0.509,0.1003,-0.5799,-0.4381,False
runC,PRI,1,-0.6218,,-0.6218,-0.6218,False
runC,PRO,1,-0.8301,,-0.8301,-0.8301,False
runC,PRep,1,0.9379,,0.9379,0.9379,False
