run,party,n,mean,sd,lo,hi,density_drawn
runA,UDI,30,0.7583,0.0725,0.5226,0.8864,True
runA,EVOP,6,0.733,0.0701,0.6415,0.8427,True
runA,RN,34,0.7412,0.0945,0.4923,0.9268,True
runA,DC,15,0.0099,0.2374,-0.4275,0.3193,True
runA,PRad,6,-0.0975,0.1497,-0.2494,0.1147,True
runA,IND,13,-0.2481,0.5979,-0.8349,1.0323,True
runA,PS,18,-0.5068,0.105,-0.682,-0.3088,True
runA,PPD,6,-0.5113,0.1362,-0.761,-0.4051,True
runA,RD,8,-0.6455,0.0841,-0.8339,-0.5833,True
runA,PC,8,-0.6425,0.0327,-0.7029,-0.6152,True
runA,COM,2,-0.7306,0.0133,-0.7401,-0.7212,False
runA,FRVS,1,-0.4439,,-0.4439,-0.4439,False
runA,PEV,1,-0.7096,,-0.7096,-0.7096,False
runA,PH,3,-0.842,0.0418,-0.8883,-0.807,False
runA,PL,2,-0.5025,0.0163,-0.5141,-0.491,False
runA,PRI,1,-0.5545,,-0.5545,-0.5545,False
runB,UDI,31,0.789,0.125,0.5354,1.0771,True
runB,EVOP,6,0.67,0.0907,0.5626,0.8175,True
runB,RN,36,0.6813,0.0904,0.5071,0.9289,True
runB,DC,14,-0.0194,0.3057,-0.9131,0.3233,True
runB,PRad,6,-0.1349,0.2352,-0.3842,0.1421,True
runB,IND,11,-0.3232,0.5007,-0.8845,0.5686,True
runB,PS,18,-0.5365,0.0883,-0.715,-0.3823,True
runB,PPD,7,-0.5363,0.1197,-0.7476,-0.4267,True
runB,RD,10,-0.6659,0.0656,-0.7948,-0.5984,True
runB,PC,8,-0.7499,0.0282,-0.7899,-0.718,True
runB,COM,1,-0.7959,,-0.7959,-0.7959,False
runB,CS,2,-0.7541,0.0084,-0.76,-0.7481,False
runB,FRVS,1,-0.7182,,-0.7182,-0.7182,False
runB,PEV,1,-1.0336,,-1.0336,-1.0336,False
runB,PH,2,-1.0272,0.1082,-1.1037,-0.9506,False
runB,PL,2,-0.526,0.0286,-0.5463,-0.5058,False
runB,PRI,1,-0.6446,,-0.6446,-0.6446,False
runB,PRO,1,-0.791,,-0.791,-0.791,False
runC,UDI,30,0.6966,0.196,0.2315,1.035,True
runC,EVOP,6,0.69,0.1207,0.4894,0.8088,True
runC,RN,33,0.6446,0.1356,0.4234,1.0504,True
runC,DC,14,-0.0834,0.2967,-0.9208,0.2385,True
runC,PRad,6,-0.179,0.2581,-0.4673,0.0922,True
runC,IND,11,-0.3456,0.4816,-0.8117,0.5687,True
runC,PS,18,-0.5619,0.0765,-0.7297,-0.3805,True
runC,PPD,7,-0.5993,0.0819,-0.7365,-0.5039,True
runC,RD,10,-0.6872,0.0247,-0.7222,-0.644,True
runC,PC,8,-0.79,0.0222,-0.8271,-0.7675,True
runC,COM,1,-0.7649,,-0.7649,-0.7649,False
runC,CS,1,-0.7157,,-0.7157,-0.7157,False
runC,FRVS,1,-0.5579,,-0.5579,-0.5579,False
runC,PEV,1,-0.8724,,-0.8724,-0.8724,False
runC,PH,2,-0.8662,0.0785,-0.9217,-0.8106,False
runC,PL,2,-0.5001,0.0967,-0.5684,-0.4317,False
runC,PRI,1,-0.6186,,-0.6186,-0.6186,False
runC,PRO,1,-0.8145,,-0.8145,-0.8145,False
runC,PRep,1,0.9349,,0.9349,0.9349,False
