unit,name,tag,start,end,rc_raw,rc_kept,legs_kept,sources,first_vote,last_vote
1,u1_warmup1,warmup,2014-03-11,2014-07-10,128,53,120,2014_18,2014-03-13,2014-07-10
2,u2_warmup2,warmup,2014-07-11,2014-11-09,292,181,119,2014_18,2014-07-15,2014-10-22
3,u3_warmup3,warmup,2014-11-10,2015-03-11,298,143,119,2014_18,2014-11-19,2015-03-10
4,u4_warmup4,warmup,2015-03-12,2015-07-10,184,64,117,2014_18,2015-03-12,2015-07-09
5,u5_warmup5,warmup,2015-07-11,2015-11-09,237,102,119,2014_18,2015-07-15,2015-11-05
6,u6_warmup6,warmup,2015-11-10,2016-03-10,372,201,119,2014_18,2015-11-11,2016-03-09
7,u7_warmup7,warmup,2016-03-11,2016-07-09,309,196,119,2014_18,2016-03-17,2016-07-06
8,u8_warmup8,warmup,2016-07-10,2016-11-08,206,69,117,2014_18,2016-07-13,2016-11-08
9,u9_warmup9,warmup,2016-11-09,2017-03-10,375,176,116,2014_18,2016-11-09,2017-01-25
10,u10_warmup10,warmup,2017-03-11,2017-07-09,162,78,116,2014_18,2017-03-14,2017-07-06
11,u11_warmup11,warmup,2017-07-10,2017-11-08,295,156,119,2014_18,2017-07-17,2017-11-08
12,u12_warmup12,warmup,2017-11-09,2018-03-10,409,217,119,2014_18,2017-11-22,2018-03-06
13,u13_P11,P1,2018-03-11,2018-07-06,81,32,142,2018_22,2018-04-03,2018-07-04
14,u14_P12,P1,2018-07-07,2018-10-31,194,118,155,2018_22,2018-07-12,2018-10-24
15,u15_P13,P1,2018-11-01,2019-02-25,433,262,155,2018_22,2018-11-06,2019-01-24
16,u16_P14,P1,2019-02-26,2019-06-22,179,97,153,2018_22,2019-03-12,2019-06-20
17,u17_P15,P1,2019-06-23,2019-10-17,239,146,154,2018_22,2019-07-02,2019-10-17
18,u18_P21,P2,2019-10-18,2020-02-19,490,369,155,2018_22,2019-10-24,2020-01-30
19,u19_P22,P2,2020-02-20,2020-06-22,254,154,155,2018_22,2020-03-03,2020-06-17
20,u20_P23,P2,2020-06-23,2020-10-25,338,232,158,2018_22,2020-06-24,2020-10-15
21,u21_P31,P3,2020-10-26,2021-02-28,430,344,155,2018_22,2020-10-27,2021-01-29
22,u22_P32,P3,2021-03-01,2021-07-03,372,236,155,2018_22,2021-03-02,2021-07-01
23,u23_P33,P3,2021-07-04,2021-11-05,307,197,155,2018_22,2021-07-06,2021-11-04
24,u24_P34,P3,2021-11-06,2022-03-10,203,106,154,2018_22,2021-11-10,2022-03-07
