run,party,n,mean,sd,lo,hi,density_drawn
runA,UDI,29,0.7328,0.0682,0.5538,0.844,True
runA,RN,34,0.7587,0.0919,0.5527,0.9339,True
runA,EVOP,6,0.741,0.0438,0.6747,0.7803,True
runA,DC,15,-0.1206,0.1913,-0.5523,0.1536,True
runA,PRad,6,-0.2576,0.1339,-0.3857,-0.0769,True
runA,IND,12,-0.2108,0.6171,-0.9699,0.721,True
runA,PPD,7,-0.566,0.1419,-0.8348,-0.4242,True
runA,PS,18,-0.5842,0.0793,-0.7156,-0.4283,True
runA,RD,8,-0.7305,0.0335,-0.7953,-0.7067,True
runA,PC,9,-0.7436,0.0391,-0.8162,-0.6949,True
runA,COM,2,-0.8789,0.033,-0.9022,-0.8556,False
runA,CS,1,-0.8609,,-0.8609,-0.8609,False
runA,FRVS,1,-0.6777,,-0.6777,-0.6777,False
runA,PEV,1,-0.8684,,-0.8684,-0.8684,False
runA,PH,3,-0.9347,0.0324,-0.9694,-0.9053,False
runA,PL,2,-0.6658,0.0246,-0.6832,-0.6484,False
runA,PRI,1,-0.6808,,-0.6808,-0.6808,False
runB,UDI,31,0.7941,0.0919,0.6451,0.9719,True
runB,RN,36,0.7352,0.0707,0.5787,0.9187,True
runB,EVOP,6,0.7249,0.0645,0.629,0.8154,True
runB,DC,14,-0.0419,0.2379,-0.62,0.3109,True
runB,PRad,6,-0.2211,0.2112,-0.4367,0.0295,True
runB,IND,10,-0.2096,0.4824,-0.8045,0.5961,True
runB,PPD,7,-0.5775,0.1066,-0.7672,-0.4807,True
runB,PS,18,-0.5882,0.0654,-0.7347,-0.4735,True
runB,RD,10,-0.6793,0.0621,-0.7811,-0.6248,True
runB,PC,8,-0.7782,0.0219,-0.8138,-0.757,True
runB,COM,1,-0.8481,,-0.8481,-0.8481,False
runB,CS,2,-0.7802,0.0118,-0.7886,-0.7719,False
runB,FRVS,1,-0.722,,-0.722,-0.722,False
runB,PEV,1,-0.9062,,-0.9062,-0.9062,False
runB,PH,3,-0.9121,0.006,-0.9166,-0.9053,False
runB,PL,2,-0.5878,0.0007,-0.5882,-0.5873,False
runB,PRI,1,-0.6892,,-0.6892,-0.6892,False
runB,PRO,1,-0.7676,,-0.7676,-0.7676,False
runC,UDI,32,0.7205,0.14,0.4149,0.9951,True
runC,RN,33,0.6836,0.0885,0.5137,0.89,True
runC,EVOP,6,0.6834,0.0797,0.5451,0.7584,True
runC,DC,14,-0.1444,0.215,-0.6144,0.1525,True
runC,PRad,6,-0.2924,0.2225,-0.5212,-0.0486,True
runC,IND,11,-0.3468,0.4827,-0.9292,0.5583,True
runC,PPD,8,-0.6424,0.0771,-0.7815,-0.5531,True
runC,PS,18,-0.6525,0.0517,-0.7598,-0.5576,True
runC,RD,11,-0.7569,0.0348,-0.823,-0.7201,True
runC,PC,9,-0.8283,0.0128,-0.8506,-0.8125,True
runC,COM,1,-0.8815,,-0.8815,-0.8815,False
runC,CS,2,-0.8072,0.0185,-0.8202,-0.7941,False
runC,FRVS,1,-0.705,,-0.705,-0.705,False
runC,PEV,1,-0.9302,,-0.9302,-0.9302,False
runC,PH,2,-0.9464,0.0107,-0.9539,-0.9389,False
runC,PL,2,-0.6523,0.0076,-0.6576,-0.6469,False
runC,PRI,1,-0.6706,,-0.6706,-0.6706,False
runC,PRO,1,-0.8206,,-0.8206,-0.8206,False
runC,PRep,1,0.8153,,0.8153,0.8153,False
