run,party,n,mean,sd,lo,hi,density_drawn
runA,UDI,30,0.7363,0.0788,0.4957,0.8486,True
runA,RN,34,0.7368,0.1037,0.5121,0.9106,True
runA,EVOP,6,0.6553,0.0528,0.579,0.7288,True
runA,DC,14,0.0556,0.2146,-0.3947,0.3313,True
runA,PRad,6,-0.1105,0.2433,-0.3741,0.2285,True
runA,IND,14,-0.2368,0.5581,-0.7551,0.9674,True
runA,PS,18,-0.4443,0.1333,-0.6354,-0.2115,True
runA,PPD,6,-0.5328,0.1538,-0.8045,-0.3282,True
runA,RD,8,-0.6607,0.0969,-0.8904,-0.5823,True
runA,PC,8,-0.7091,0.0582,-0.7934,-0.651,True
runA,COM,2,-0.7664,0.0151,-0.777,-0.7557,False
runA,FRVS,1,-0.4435,,-0.4435,-0.4435,False
runA,PEV,1,-0.7394,,-0.7394,-0.7394,False
runA,PH,3,-0.8888,0.0832,-0.9549,-0.7954,False
runA,PL,2,-0.528,0.0159,-0.5392,-0.5167,False
runA,PRI,1,-0.5653,,-0.5653,-0.5653,False
runB,UDI,30,0.7553,0.1283,0.5243,1.1032,True
runB,RN,34,0.6493,0.0954,0.4803,0.9128,True
runB,EVOP,6,0.6131,0.0824,0.5049,0.7347,True
runB,DC,14,-0.0102,0.2976,-0.8607,0.3497,True
runB,PRad,6,-0.118,0.238,-0.3826,0.1606,True
runB,IND,11,-0.3166,0.4853,-0.9053,0.5455,True
runB,PS,18,-0.5253,0.1018,-0.7278,-0.3611,True
runB,PPD,7,-0.5232,0.1257,-0.7493,-0.415,True
runB,RD,10,-0.6607,0.0477,-0.7394,-0.6056,True
runB,PC,8,-0.8246,0.0315,-0.8663,-0.7906,True
runB,COM,1,-0.7826,,-0.7826,-0.7826,False
runB,CS,2,-0.6784,0.0993,-0.7486,-0.6083,False
runB,FRVS,1,-0.7203,,-0.7203,-0.7203,False
runB,PEV,1,-1.0059,,-1.0059,-1.0059,False
runB,PH,2,-1.006,0.081,-1.0633,-0.9487,False
runB,PL,2,-0.5289,0.0117,-0.5371,-0.5206,False
runB,PRI,1,-0.6515,,-0.6515,-0.6515,False
runB,PRO,1,-0.8648,,-0.8648,-0.8648,False
runC,UDI,30,0.7004,0.1843,0.2603,1.1115,True
runC,RN,33,0.6089,0.1255,0.4196,0.9915,True
runC,EVOP,6,0.5964,0.1061,0.4116,0.7092,True
runC,DC,14,-0.0534,0.3022,-0.9279,0.2718,True
runC,PRad,6,-0.1598,0.2525,-0.4411,0.1108,True
runC,IND,11,-0.3428,0.4895,-0.8526,0.5512,True
runC,PS,18,-0.5717,0.074,-0.6995,-0.397,True
runC,PPD,7,-0.609,0.0854,-0.7656,-0.5177,True
runC,RD,10,-0.679,0.035,-0.718,-0.6047,True
runC,PC,8,-0.8223,0.0158,-0.8468,-0.8019,True
runC,COM,1,-0.8002,,-0.8002,-0.8002,False
runC,CS,1,-0.6993,,-0.6993,-0.6993,False
runC,FRVS,1,-0.5825,,-0.5825,-0.5825,False
runC,PEV,1,-0.9472,,-0.9472,-0.9472,False
runC,PH,2,-0.9379,0.0593,-0.9798,-0.8959,False
runC,PL,2,-0.5039,0.0597,-0.5461,-0.4617,False
runC,PRI,1,-0.6093,,-0.6093,-0.6093,False
runC,PRO,1,-0.8447,,-0.8447,-0.8447,False
runC,PRep,1,0.8701,,0.8701,0.8701,False
