unit,name,tag,start,end,rc_raw,rc_kept,legs_kept,sources,first_vote,last_vote
1,u1_warmup1,warmup,2014-03-11,2014-09-23,272,132,120,2014_18,2014-03-13,2014-09-10
2,u2_warmup2,warmup,2014-09-24,2015-01-05,266,149,119,2014_18,2014-09-24,2014-12-17
3,u3_warmup3,warmup,2015-01-06,2015-05-18,265,116,119,2014_18,2015-01-06,2015-05-06
4,u4_warmup4,warmup,2015-05-19,2015-09-30,249,101,119,2014_18,2015-05-19,2015-09-14
5,u5_warmup5,warmup,2015-10-01,2015-12-14,306,162,119,2014_18,2015-10-01,2015-12-10
6,u6_warmup6,warmup,2015-12-15,2016-04-18,258,162,119,2014_18,2015-12-15,2016-04-14
7,u7_warmup7,warmup,2016-04-19,2016-08-03,290,157,119,2014_18,2016-04-19,2016-08-03
8,u8_warmup8,warmup,2016-08-04,2016-11-16,164,45,113,2014_18,2016-08-09,2016-11-16
9,u9_warmup9,warmup,2016-11-17,2017-05-01,367,177,118,2014_18,2016-11-17,2017-04-17
10,u10_warmup10,warmup,2017-05-02,2017-08-15,284,161,117,2014_18,2017-05-02,2017-08-02
11,u11_warmup11,warmup,2017-08-16,2017-11-27,273,142,118,2014_18,2017-08-16,2017-11-27
12,u12_warmup12,warmup,2017-11-28,2018-03-10,273,131,119,2014_18,2017-11-28,2018-03-06
13,u13_P11,P1,2018-03-11,2018-07-30,142,61,152,2018_22,2018-04-03,2018-07-19
14,u14_P12,P1,2018-07-31,2018-11-13,155,103,155,2018_22,2018-07-31,2018-11-12
15,u15_P13,P1,2018-11-14,2018-11-15,174,112,153,2018_22,2018-11-14,2018-11-15
16,u16_P14,P1,2018-11-16,2019-01-15,161,101,155,2018_22,2018-11-16,2019-01-15
17,u17_P15,P1,2019-01-16,2019-05-07,132,58,154,2018_22,2019-01-16,2019-04-23
18,u18_P16,P1,2019-05-08,2019-08-19,196,105,153,2018_22,2019-05-08,2019-08-14
19,u19_P17,P1,2019-08-20,2019-10-17,166,115,154,2018_22,2019-08-20,2019-10-17
20,u20_P21,P2,2019-10-18,2019-12-16,265,195,155,2018_22,2019-10-24,2019-12-11
21,u21_P22,P2,2019-12-17,2020-03-17,275,189,155,2018_22,2019-12-17,2020-03-11
22,u22_P23,P2,2020-03-18,2020-07-22,262,169,155,2018_22,2020-03-18,2020-07-22
23,u23_P24,P2,2020-07-23,2020-10-25,280,202,155,2018_22,2020-07-23,2020-10-15
24,u24_P31,P3,2020-10-26,2020-12-01,256,220,154,2018_22,2020-10-27,2020-12-01
25,u25_P32,P3,2020-12-02,2021-03-25,267,192,158,2018_22,2020-12-02,2021-03-25
26,u26_P33,P3,2021-03-26,2021-06-28,262,161,154,2018_22,2021-03-26,2021-06-22
27,u27_P34,P3,2021-06-29,2021-11-03,220,133,155,2018_22,2021-06-29,2021-11-03
28,u28_P35,P3,2021-11-04,2022-03-10,307,177,154,2018_22,2021-11-04,2022-03-07
