parameter,value
log_likelihood,-81521.360301641762
iterations,238
converged,1
final_ll_improvement,0.998649596455
convergence_absolute_tolerance,1.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,692839
correct_classifications,656830
classification_pct,94.8027
w1,1.000000000000000
w2,1.526389295212700
beta,20.000000000000000
temporal_model,2
dimensions,2
periods,23
optimizer_precision,standard
block_solver,slsqp
scalar_search,global
evaluate_only,0
adaptive_tolerances,0
threads,4
elapsed_seconds,1683.04
