parameter,value
log_likelihood,-33166.396767284117
iterations,62
converged,1
final_ll_improvement,0.953403075640
convergence_absolute_tolerance,1.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,244247
correct_classifications,228645
classification_pct,93.6122
w1,1.000000000000000
w2,1.386233445433922
beta,20.000000000000000
temporal_model,1
dimensions,2
periods,5
optimizer_precision,standard
block_solver,slsqp
scalar_search,global
evaluate_only,0
adaptive_tolerances,0
threads,4
elapsed_seconds,60.12
