parameter,value
log_likelihood,-36388.864954567973
iterations,4
first_iteration,1
converged,0
final_ll_improvement,207.512600422720
convergence_absolute_tolerance,0.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,244247
correct_classifications,228896
classification_pct,93.7150
w1,1.00000000000000000
w2,0.35859782187670408
beta,6.89187189346959794
temporal_model,1
dimensions,2
periods,5
optimizer_precision,strict
block_solver,cobyla
scalar_search,local
likelihood_evaluator,legacy-nearest
bill_start,canonical-zero
fortran_replication,1
w2_upper_bound,none
d2_identification,none
d2_scale_factor,1.00000000000000000
raw_w2_before_identification,0.35859782187670408
beta_upper_bound,none
evaluate_only,0
fix_global_params,0
fix_roll_calls,0
fix_legislators,0
adaptive_tolerances,0
threads,1
optimizer_trace_exported,0
elapsed_seconds,32.02
