set,vintage,panel,panel_label,engine,engine_label,engine_tree,run,tag,periods,requested_model,valid_votes,valid_votes_native,screened_rollcalls,native_plog,self_reported_plog,native_minus_self_plog,native_plog_per_vote,continuous_log_likelihood,mean_log_loss,gmp_continuous,gmp_native,brier_score,accuracy,auc,ece_10_bins,mcfadden_r2_vs_half,nominal_parameter_count,aic_nominal,bic_nominal,correct_classifications_native,classification_pct_native,classification_pct_common,w2,beta,apre,apre_mean_over_rollcalls,minority_votes_total,classification_errors_common,screened_rollcalls_scored
ried,ried2022,chile-expanding-annual-7u,"annual, 7 units",modern,C++ NLopt,engine-modern,runA,m1i4,5,1,238751,238751,2291,-32998.385210074506,-32998.385210074506,0.0,-0.1382125528692005,-32998.38517610406,0.1382125527269165,0.8709135570195968,0.8709135568956797,0.0401853675730791,0.9463541513962244,0.9865349189519328,0.0067613453614909,0.8006014353870007,9716,85428.77042014901,186311.7127774121,225964,94.64421091429983,94.63541513962244,0.540365215103261,5.073283731580293,0.811882206065947,0.6589893248602168,68085,12808,2291
ried,ried2022,chile-expanding-annual-7u,"annual, 7 units",modern,C++ NLopt,engine-modern,runB,m1i4,6,1,336548,336548,3046,-45837.26277688681,-45837.26277688681,0.0,-0.1361982920025874,-45837.26273360138,0.1361982918739715,0.8726695720462476,0.8726695719340084,0.039387416977064,0.9474874312133782,0.9870865512645008,0.0066504439855345,0.80350739955032,12742,117158.52555377362,253835.538385561,318918,94.76151990206448,94.74874312133782,0.535800150286034,5.044201380811564,0.823073611708997,0.664239878010063,99889,17673,3046
ried,ried2022,chile-expanding-annual-7u,"annual, 7 units",modern,C++ NLopt,engine-modern,runC,m1i4,7,1,442868,442868,3929,-64190.36305895185,-64190.36305895185,0.0,-0.1449424276735999,-64190.36300191596,0.1449424275448123,0.8650720960015713,0.8650720958901608,0.0422113819087387,0.9437304117705502,0.985703050382616,0.0072649942661967,0.7908922783808902,16284,160948.72611790372,340089.45037584985,417909,94.36423494133692,94.373041177055,0.530154991269659,4.87385037750532,0.8146274696500834,0.6614667968283923,134432,24920,3929
ried,ried2022_count,chile-expanding-equalcount-28u,"equal-count, 28 units",modern,C++ NLopt,engine-modern,runA,m1i4,19,1,238541,238541,2290,-35083.00943907855,-35083.00943907855,0.0,-0.1470732890324034,-35083.00940710212,0.1470732888983534,0.8632307098701921,0.863230709754476,0.0428767406647989,0.9421818471457736,0.984543731561508,0.0066879814344347,0.7878180952657223,10010,90186.0188781571,194112.80666590904,224704,94.19932003303416,94.21818471457738,0.510146122912892,4.456182075003139,0.7973880213306694,0.6309446193399372,68071,13792,2290
ried,ried2022_count,chile-expanding-equalcount-28u,"equal-count, 28 units",modern,C++ NLopt,engine-modern,runB,m1i4,23,1,336316,336316,3045,-48227.00569955823,-48227.00569955823,0.0,-0.1433978927543091,-48227.0056556632,0.1433978926237919,0.8664092624473541,0.8664092623342727,0.0415063494455478,0.9445699877496164,0.9856711222514238,0.0074040310373906,0.7931205712494308,13036,122526.01139911644,262347.62458329764,317552,94.42072336730932,94.45699877496163,0.512307869212408,4.401911441611698,0.8133429455408369,0.6514488465452868,99873,18642,3045
ried,ried2022_count,chile-expanding-equalcount-28u,"equal-count, 28 units",modern,C++ NLopt,engine-modern,runC,m1i4,28,1,442588,442588,3928,-66367.22182544992,-66367.22182544992,0.0,-0.1499526011221495,-66367.22176516974,0.1499526009859502,0.8607487741014023,0.8607487739841689,0.0437292185773312,0.94163194664112,0.9847008520702264,0.0079214532550564,0.7836641259926741,16584,165902.44365089983,348332.9875930626,416536,94.11371297911376,94.163194664112,0.512772597482768,4.387800883412144,0.8078044788334201,0.6506305726596019,134410,25833,3928
ried,ried2022_fine,chile-expanding-4month-24u,"4-month, 24 units",modern,C++ NLopt,engine-modern,runA,m1i4,17,1,238426,238426,2291,-33230.16962392195,-33230.16962392195,0.0,-0.1393730953164585,-33230.16959391521,0.1393730951906051,0.8699034111264523,0.8699034110169719,0.0404291284074271,0.9457483663694396,0.9861217867229692,0.0069354337388728,0.7989271265536004,10002,86464.3392478439,190303.2455626748,225492,94.57525605428938,94.57483663694396,0.525317143927509,4.641614206310285,0.80983534254631,0.6497946273994228,68020,12935,2291
ried,ried2022_fine,chile-expanding-4month-24u,"4-month, 24 units",modern,C++ NLopt,engine-modern,runB,m1i4,20,1,336223,336223,3046,-45854.30663867649,-45854.30663867649,0.0,-0.1363806361809766,-45854.30659693858,0.136380636056839,0.8725104603332081,0.8725104602248968,0.0393221908679754,0.9474634394434646,0.9870125281637036,0.0078938740115867,0.8032443325084231,13040,117788.61327735298,257649.5232943173,318506,94.73058059680628,94.74634394434644,0.524813043367545,4.652580207291692,0.8230485654752364,0.664521166038761,99824,17664,3046
ried,ried2022_fine,chile-expanding-4month-24u,"4-month, 24 units",modern,C++ NLopt,engine-modern,runC,m1i4,24,1,442519,442519,3929,-64556.12025533549,-64556.12025533549,0.0,-0.1458832733856297,-64556.120197109616,0.1458832732540515,0.8642585793886828,0.8642585792749652,0.0424927775459412,0.943295090154321,0.9855362584757869,0.0078066923161203,0.7895349249379031,16588,162288.240510671,344760.1997405063,417419,94.32792716244953,94.3295090154321,0.526799862545216,4.496201210817239,0.8132474974881851,0.6571548305334043,134365,25093,3929
ried,ried2022_w3,chile-expanding-3month-31u,"3-month mv12, 31 units",modern,C++ NLopt,engine-modern,runA,m1i4,22,1,238526,238526,2291,-33342.09044574152,-33342.09044574152,0.0,-0.1397838828712237,-33342.09041510041,0.1397838827427635,0.8695461390200725,0.8695461389083703,0.0405273133505148,0.9462029296596598,0.9862050588586188,0.0086529320785569,0.7983344853854818,10016,86716.18089148303,190704.6326094909,225657,94.60478103016024,94.62029296596596,0.550598882640674,4.441927474029652,0.8113884234353411,0.6568114651499399,68034,12832,2291
