set,vintage,panel,panel_label,engine,engine_label,engine_tree,run,tag,periods,requested_model,valid_votes,valid_votes_native,screened_rollcalls,native_plog,self_reported_plog,native_minus_self_plog,native_plog_per_vote,continuous_log_likelihood,mean_log_loss,gmp_continuous,gmp_native,brier_score,accuracy,auc,ece_10_bins,mcfadden_r2_vs_half,nominal_parameter_count,aic_nominal,bic_nominal,correct_classifications_native,classification_pct_native,classification_pct_common,w2,beta,apre,apre_mean_over_rollcalls,minority_votes_total,classification_errors_common,screened_rollcalls_scored
three-engine,isolation-2026-08-25-full,chile-dynamic-23p,Chile dynamic (23p),adhoc,C++ ad hoc,engine-faithful,,,23,2,692839,692839,6858,-117588.495212,-117588.495212,0.0,-0.16971979812337354,-117588.48224194883,0.16971977940322186,0.8439012619816573,0.8439012461836979,0.0508220715733246,0.9308136522337801,0.9806920294406714,0.004845735077842628,0.755146088906733,28954,293084.99042399996,624566.3918998206,645242,93.13015000598985,93.08136522337801,0.3363,7.066034,0.7753748828491096,0.5642669706941043,213400,47935,6858
three-engine,isolation-2026-08-25-full,chile-dynamic-23p,Chile dynamic (23p),fortran,Fortran,fortran-canonical,,,23,2,692839,692839,6858,-119043.48666871339,-119043.48666871339,0.0,-0.17181984078366458,-119043.4752649716,0.17181982432422482,0.8421308910025354,0.8421308771415328,0.05152285404682683,0.9299317734711816,0.9802390477192359,0.0059082104891195145,0.7521163677750758,28954,295994.9733374268,627476.3748132475,644293,92.99317734711816,92.99317734711816,0.336300015449524,7.266984462738037,0.7725117150890347,0.55005275755383,213400,48546,6858
three-engine,isolation-2026-08-25-full,chile-dynamic-23p,Chile dynamic (23p),nlopt,C++ NLopt,engine-modern,,,23,2,692839,692839,6858,-98483.53638008668,-98483.53638008668,0.0,-0.14214490867299137,-98501.14450656605,0.1421703231292783,0.8674734931025991,0.8674955397499202,0.042606919130458255,0.9423401396283985,0.986590814262757,0.004780272011911214,0.7949282451698607,28954,254875.07276017335,586356.474235994,652890,94.23401396283985,94.23401396283985,0.3761762911586396,7.75232950591922,0.8127975632614808,0.6477061363585037,213400,39949,6858
three-engine,isolation-2026-08-25-full,chile-static-leg353,Chile leg. 353,adhoc,C++ ad hoc,engine-faithful,,,1,0,7858,7858,103,-1146.04901,-1146.04901,0.0,-0.1458448727411555,-1146.0489930631009,0.1458448705857853,0.8642917698615006,0.8642917679986318,0.04452344412774939,0.9390430134894375,0.986069428568711,0.007254994399375197,0.7895903253572529,646,3584.09802,8086.25768047649,7380,93.91702723339272,93.90430134894375,0.381301,7.830462,0.7512980269989615,0.5855485582247114,1926,479,103
three-engine,isolation-2026-08-25-full,chile-static-leg353,Chile leg. 353,fortran,Fortran,fortran-canonical,,,1,0,7858,7858,103,-1154.505986916076,-1154.505986916076,0.0,-0.14692109785137134,-1154.5069665308656,0.14692122251601752,0.8633619882226224,0.8633620958533459,0.044732428724258734,0.9400610842453551,0.9858887109687751,0.009310833782460792,0.7880376607278644,646,3601.011973832152,8103.171634308642,7387,94.00610842453551,94.00610842453551,0.376392751932144,7.819913864135742,0.7554517133956387,0.5940240749959144,1926,471,103
three-engine,isolation-2026-08-25-full,chile-static-leg353,Chile leg. 353,nlopt,C++ NLopt,engine-modern,,,1,0,7858,7858,103,-1119.204311165841,-1119.204311165841,0.0,-0.14242864738684666,-1119.2237360758168,0.1424311193784445,0.8672472887672501,0.8672494325979109,0.04346797223995351,0.9405701196233138,0.9867758637378107,0.0088620198461682,0.7945188967344735,646,3530.408622331682,8032.568282808172,7391,94.05701196233139,94.05701196233139,0.37085654300736426,7.908315704870655,0.7575285565939771,0.6041668229816342,1926,467,103
three-engine,isolation-2026-08-25-full,chile-static-leg366,Chile leg. 366,adhoc,C++ ad hoc,engine-faithful,,,1,0,52079,52079,413,-6415.818292,-6415.818292,0.0,-0.12319396094395053,-6415.818588227956,0.12319396663200054,0.884092161549668,0.8840921665784284,0.036557262890715286,0.948904548858465,0.990146539180531,0.010660009502573748,0.8222686834786939,1964,16759.636584,34161.69212022156,49359,94.77716546016629,94.8904548858465,0.36881,7.506634,0.8429161747343565,0.7040689798452783,16940,2661,413
three-engine,isolation-2026-08-25-full,chile-static-leg366,Chile leg. 366,fortran,Fortran,fortran-canonical,,,1,0,52079,52079,413,-6398.123423099518,-6398.123423099518,0.0,-0.12285419119221794,-6398.124446881421,0.12285421085046605,0.8843925880058865,0.8843926053914957,0.03639221200293813,0.949154169626913,0.9901661082950213,0.010193818502817722,0.8227588676145626,1964,16724.246846199036,34126.3023824206,49431,94.9154169626913,94.9154169626913,0.366299986839294,7.519132614135742,0.8436835891381346,0.6972321264529185,16940,2648,413
three-engine,isolation-2026-08-25-full,chile-static-leg366,Chile leg. 366,nlopt,C++ NLopt,engine-modern,,,1,0,52079,52079,413,-5927.804389818887,-5927.804389818887,0.0,-0.11382331438427941,-5927.861282319906,0.1138244068111889,0.8924146440584094,0.8924156189567135,0.03329887368065358,0.9553946888381113,0.9916174118550065,0.008569417126130142,0.8357876688002547,1964,15783.608779637774,33185.664315859336,49756,95.53946888381114,95.53946888381113,0.33691163215642694,8.141306923862281,0.8628689492325856,0.7610246653107017,16940,2323,413
three-engine,isolation-2026-08-25-full,chile-static-leg368,Chile leg. 368,adhoc,C++ ad hoc,engine-faithful,,,1,0,92253,92253,736,-13417.231143,-13417.231143,0.0,-0.14543951029234822,-13417.234752533474,0.14543954941880993,0.8646421566150551,0.8646421904454439,0.04284718215893202,0.9431129610961161,0.9862851071309205,0.005764993105193273,0.7901751397519099,3268,33370.462286,64195.18627299299,87000,94.30587623166727,94.3112961096116,0.3588,7.105365,0.8286423300463658,0.7009528589254395,30626,5248,736
