party,target,boot_mean_orth,boot_se_orth,observed_orth,bias_orth,boot_mean_scaled,boot_se_scaled,observed_scaled,bias_scaled,bias_ratio_scaled_over_orth,se_ratio_scaled_over_orth
COMUNES,P1,-0.8952882224609883,0.016014339057369778,-0.8544919390865344,-0.040796283374453846,-0.8517809820274387,0.016071812901723572,-0.8544919390865344,0.002710957059095742,-0.06645107923711775,1.0035888989328814
COMUNES,P2,-0.884392934930395,0.019168481734231822,-0.826897989021932,-0.057494945908462936,-0.8414093557388282,0.018677043957448125,-0.826897989021932,-0.014511366716896235,0.2523937797941339,0.9743621960467496
COMUNES,P3,-0.8433877742759216,0.0378417392538549,-0.762829228096001,-0.08055854617992064,-0.8023874427767548,0.0359843594275682,-0.762829228096001,-0.03955821468075382,0.49104926238867225,0.95091716546571
DC,P1,-0.17288321782509775,0.012166825573779478,-0.183922449758638,0.011039231933540256,-0.16447833821487137,0.011567413931943748,-0.183922449758638,0.01944411154376663,1.7613645279695602,0.9507339331692638
DC,P2,-0.16716423299463415,0.014868610330826409,-0.1461147917295805,-0.021049441265053648,-0.15905102947393462,0.014266917494654084,-0.1461147917295805,-0.012936237744354123,0.6145644238942773,0.9595326783885874
DC,P3,-0.13438928969740624,0.020182645251221862,-0.095715177969928,-0.03867411172747824,-0.12788479336355085,0.019389633819198098,-0.095715177969928,-0.032169615393622855,0.8318126508065629,0.9607082509674615
EVOP,P1,0.6791095593646412,0.01984591106665729,0.6458918157122835,0.033217743652357745,0.6460580613429535,0.017530983859456235,0.6458918157122835,0.0001662456306700255,0.0050047237527593375,0.8833549541048625
EVOP,P2,0.6569810196113686,0.017410250997363416,0.681520841543355,-0.02453982193198645,0.6250059863088163,0.015085601954795734,0.681520841543355,-0.0565148552345387,2.3029855469682268,0.8664781430825022
EVOP,P3,0.6373850531271298,0.03618667085706268,0.7447161050215675,-0.1073310518944377,0.6063446302722181,0.033434579604922486,0.7447161050215675,-0.1383714747493494,1.2892026334134934,0.9239473765627417
FRVS,P1,-0.7302915562728413,0.017530797887648244,-0.689142588320414,-0.041148967952427284,-0.6947961067915567,0.016930042650214683,-0.689142588320414,-0.0056535184711427044,0.13739150098925423,0.9657314378225285
FRVS,P2,-0.6889626376385037,0.018937873565988843,-0.633417623250118,-0.05554501438838577,-0.6554741343973983,0.01814811517976818,-0.633417623250118,-0.022056511147280355,0.3970925453912976,0.9582974095022464
FRVS,P3,-0.6338574127927203,0.03562212671958036,-0.559117669823057,-0.07473974296966335,-0.6030448378718536,0.03390176460058015,-0.559117669823057,-0.043927168048796594,0.5877350697690586,0.9517052383608927
IND,P1,-0.5925284205989246,0.011864019906699707,-0.552794847202349,-0.03973357339657568,-0.5637259306743593,0.011386558993767028,-0.552794847202349,-0.010931083472010328,0.27510949903520104,0.9597555536245306
IND,P2,-0.5593909832949524,0.016873903338701136,-0.505481288078154,-0.05390969521679845,-0.5322023507195557,0.016215349628102994,-0.505481288078154,-0.026721062641401727,0.49566339661062214,0.9609720586055678
IND,P3,-0.7066922657170208,0.032243221763997285,-0.646605803283654,-0.060086462433366794,-0.6723478526497343,0.030898141461744532,-0.646605803283654,-0.025742049366080266,0.4284167901318379,0.9582833157276278
LIBERAL,P1,-0.6948089847428517,0.013643409872923113,-0.6528740998960305,-0.041934884846821174,-0.6610267778301907,0.012715367614023794,-0.6528740998960305,-0.00815267793416019,0.19441278935044448,0.9319787159116928
LIBERAL,P2,-0.6439550308099963,0.016169395905520776,-0.587224246865672,-0.05673078394432429,-0.6126449815056888,0.015174050847712627,-0.587224246865672,-0.025420734640016818,0.44809418930231565,0.9384426565083792
LIBERAL,P3,-0.5761497588995227,0.02449693859501603,-0.49969110949186096,-0.07645864940766173,-0.5481359197396862,0.023185746952704155,-0.49969110949186096,-0.048444810247825265,0.6336079779480218,0.9464752855861491
PC,P1,-0.8473714853791471,0.010093550872892057,-0.7993144026531745,-0.04805708272597253,-0.8061787489976224,0.009649082954430673,-0.7993144026531745,-0.00686434634444788,0.14283734998208772,0.955965157945052
PC,P2,-0.8537431014831839,0.012193846726322963,-0.7936357390698935,-0.0601073624132904,-0.8122472266055025,0.012098273676433326,-0.7936357390698935,-0.01861148753560904,0.3096374019481819,0.9921621903215068
PC,P3,-0.8587750490206904,0.01906590977639823,-0.7832173384037211,-0.07555771061696925,-0.8170483107424213,0.019060647975805995,-0.7832173384037211,-0.03383097233870025,0.4477500980701004,0.9997240204818997
PCS,P2,-0.8214602293849878,0.021674484593391493,-0.764990857940143,-0.05646937144484476,-0.7815411805406943,0.02117444336742218,-0.764990857940143,-0.016550322600551337,0.29308494458303835,0.9769294986547559
PCS,P3,-0.7979963218655759,0.041596556926953125,-0.713814951146788,-0.08418137071878795,-0.7592214147476894,0.039927751340186314,-0.713814951146788,-0.0454064636009015,0.5393885038126077,0.9598811606042931
PEV,P1,-0.9181141114546169,0.030726970623852025,-0.888423120259268,-0.029690991195348904,-0.8734782622908334,0.02925899446527855,-0.888423120259268,0.014944857968434588,-0.5033465494670215,0.952225158264253
PEV,P2,-0.9202232926419817,0.028819971547478982,-0.881805325554176,-0.03841796708780565,-0.8754872036281027,0.027503017623503392,-0.881805325554176,0.0063181219260732835,-0.16445747667056376,0.9543041212998425
PEV,P3,-0.9230355342251346,0.03731104486059161,-0.87298159928072,-0.05005393494441457,-0.8781657920777952,0.03561992152459017,-0.87298159928072,-0.00518419279707516,0.10357213279699712,0.95467499389738
PH,P1,-0.9362776106247628,0.017293766810352718,-0.906039592307048,-0.030238018317714777,-0.8907584154803265,0.016234664861956866,-0.906039592307048,0.015281176826721476,-0.5053630388790751,0.9387581687662266
PH,P2,-0.925321324763475,0.013600283020776201,-0.8861299463954535,-0.039191378368021446,-0.8803473425502594,0.013515455448972431,-0.8861299463954535,0.005782603845194134,-0.14754785582924282,0.9937628083419893
PH,P3,-0.9226617080328652,0.026352042933412836,-0.8663463808214285,-0.05631532721143673,-0.877835630617466,0.026038265916675067,-0.8663463808214285,-0.011489249796037493,0.20401639065153496,0.988092876991335
PPD,P1,-0.6172702589578498,0.010136326133879641,-0.5639099759450675,-0.053360283012782284,-0.5872596557787583,0.009446159842576567,-0.5639099759450675,-0.02334967983369074,0.43758538214831805,0.9319115937877863
PPD,P2,-0.6059566655467662,0.01338183754866757,-0.539437361584271,-0.06651930396249517,-0.5765017640447976,0.012845735341172188,-0.539437361584271,-0.03706440246052656,0.5571976892816581,0.959938072365199
