period,mean_shift_d1,se_shift_d1
1,0.050670613145142734,0.01580309839835216
2,0.04505346462226484,0.01438024071057884
3,0.0403009800593177,0.013068002355712129
4,0.03586945397093016,0.01173501697501803
5,0.031120114811582875,0.01047327437696373
6,0.026325785691838997,0.009228576790887004
7,0.02153145657209507,0.008037924104803666
8,0.0159422096466554,0.006849250787922796
9,0.012279200690410764,0.006024631723378622
10,0.007919097918009077,0.0052203196174127
11,0.0030292382393595023,0.00469190512632393
12,-0.0017650908803843637,0.004573877684891494
13,0.017733567557754782,0.007141689941047701
14,0.012159882032709735,0.0058568163818293615
15,0.005433839091015164,0.005238633369269351
16,-0.0012739743337755957,0.005093680877562114
17,-0.00763314735454022,0.005398111374288977
18,-0.014628767552317736,0.006112118386193201
19,-0.021354810494012222,0.007136989225204489
20,-0.027499625195661202,0.008388523272461283
21,-0.035069045974792205,0.009699500561223453
22,-0.04202321428789256,0.011153468070616207
23,-0.049097823338761594,0.012686329935814486
24,-0.05574201993153301,0.01420400920432273
