replicate,delta1,delta2,determinant
1,0.9646871026657722,0.9296125205003761,1.0000000000000007
2,0.9513981520879845,0.9073632642962769,1.0000000000000002
3,0.9410643360844003,0.9374686230209315,0.9999999999999994
4,0.946919623331857,0.9341323913116579,1.0
5,0.966073373916763,0.9372143437251221,1.0000000000000009
6,0.9539925239418136,0.9340532724246193,0.9999999999999991
7,0.9460676925415622,0.9390927852450771,1.0
8,0.9539180797254825,0.9203803895910462,1.0
9,0.9388993375643137,0.9398356364263087,1.0000000000000004
10,0.9567789768244919,0.9425477637396166,1.0
11,0.9560212786814755,0.9331758678316869,1.0000000000000004
12,0.9410167947950777,0.934133693594621,0.9999999999999993
13,0.9319874458022791,0.09453784923371313,0.9999999999999998
14,0.9561158635995178,0.9093055656695797,0.9999999999999993
15,0.9674841171776424,0.9200399800212982,0.9999999999999997
16,0.9475007642668597,0.923226266297808,1.0000000000000007
17,0.9528634034017054,0.9262723816836721,1.0000000000000002
18,0.956423564931198,0.9267775206999435,0.9999999999999998
19,0.9444417383813388,0.9291158612740524,0.9999999999999997
20,0.9415100710425574,0.9475777831049347,1.0000000000000002
21,0.9382329659466705,0.9374582612102125,1.0000000000000009
22,0.9508493370185981,0.9419083663299038,0.9999999999999998
23,0.9608955652701647,0.9408399768276879,0.9999999999999998
24,0.9418400345077912,0.9320793529222552,0.9999999999999999
25,0.9543101445611442,0.9294671786993586,0.9999999999999998
26,0.9538063885909902,0.9508191961588435,1.0000000000000004
27,0.9506827331691825,0.9481607609814431,0.9999999999999999
28,0.9385223037540771,0.9255054238623867,0.9999999999999997
29,0.9566916366263082,0.9360326718001077,0.9999999999999994
30,0.9558951382005931,0.9559367840445454,0.9999999999999997
31,0.9543618508828728,0.914897764525921,1.0000000000000002
32,0.9505253831630024,0.9123584000595248,1.0000000000000004
33,0.9548385548269553,0.9201959195999335,1.0000000000000004
34,0.9428373033130186,0.9315522255989097,0.9999999999999994
35,0.9504653788421316,0.9440684427094327,1.0000000000000002
36,0.9579702084781896,0.9260467504595709,0.9999999999999996
37,0.9618011306573168,0.9274288071892995,1.0000000000000009
38,0.9509402490597425,0.9252955964519647,1.0000000000000004
39,0.9424916008021844,0.9411721954197242,1.0000000000000004
40,0.9423378253823382,0.9336120803528297,0.9999999999999996
41,0.949385808653116,0.9148048511031809,0.9999999999999992
42,0.9428502244887547,0.9060749351946492,1.0000000000000009
43,0.9507716385734177,0.9497118187868014,0.9999999999999989
44,0.9558829968609832,0.9162551473710735,1.0000000000000004
45,0.9572126493093752,0.9310055886288113,0.9999999999999999
46,0.9610818453541182,0.9291076085323333,1.0000000000000002
47,0.9467792679305943,0.9206386906346746,1.0
