parameter,value
log_likelihood,-64556.120255335489
iterations,4
converged,0
final_ll_improvement,1620.797525252689
convergence_absolute_tolerance,0.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,442519
correct_classifications,417419
classification_pct,94.3279
w1,1.000000000000000
w2,0.526799862545216
beta,4.496201210817239
temporal_model,1
dimensions,2
periods,24
optimizer_precision,standard
block_solver,cobyla
scalar_search,local
evaluate_only,0
adaptive_tolerances,0
threads,1
elapsed_seconds,126.84
