legislator_id,period,party
177,1,PPD
802,1,PS
811,1,UDI
813,1,RN
819,1,PPD
836,1,PR
837,1,PS
839,1,PPD
843,1,RN
846,1,AMPL
848,1,PPD
850,1,UDI
852,1,PPD
854,1,PPD
855,1,PR
856,1,PPD
857,1,UDI
860,1,DC
862,1,IND
863,1,RN
865,1,UDI
866,1,IND
867,1,RN
868,1,RN
869,1,PS
874,1,UDI
875,1,UDI
876,1,PPD
877,1,DC
879,1,DC
880,1,PS
883,1,PS
885,1,PR
888,1,PR
891,1,RN
893,1,DC
897,1,DC
898,1,DC
902,1,PPD
905,1,UDI
906,1,UDI
908,1,UDI
911,1,DC
913,1,DC
915,1,RN
919,1,UDI
920,1,PS
923,1,UDI
924,1,PS
925,1,IND
927,1,IND
929,1,PPD
930,1,PC
931,1,PS
933,1,DC
934,1,DC
935,1,RN
936,1,PPD
937,1,PC
938,1,UDI
939,1,UDI
940,1,UDI
941,1,PS
942,1,UDI
944,1,UDI
945,1,UDI
946,1,RN
947,1,DC
948,1,IND
949,1,RN
950,1,IND
951,1,UDI
952,1,RN
954,1,UDI
955,1,UDI
956,1,PC
957,1,DC
958,1,PPD
959,1,UDI
963,1,DC
967,1,UDI
968,1,PS
969,1,DC
970,1,UDI
971,1,IND
972,1,PCS
973,1,PC
974,1,PPD
975,1,PS
976,1,UDI
977,1,DC
978,1,UDI
979,1,DC
980,1,PPD
981,1,PS
982,1,DC
983,1,IND
984,1,RN
985,1,UDI
986,1,PR
987,1,RD
988,1,EVOP
989,1,UDI
990,1,PS
991,1,PL
992,1,DC
993,1,PC
994,1,RN
995,1,RN
996,1,DC
997,1,IND
998,1,DC
999,1,RN
1000,1,PS
1001,1,PS
1002,1,PS
1003,1,IND
1004,1,PS
1005,1,UDI
1006,1,PC
177,2,PPD
802,2,PS
811,2,UDI
813,2,RN
819,2,PPD
836,2,PR
837,2,PS
839,2,PPD
843,2,RN
846,2,AMPL
848,2,PPD
850,2,UDI
852,2,PPD
854,2,PPD
855,2,PR
856,2,PPD
857,2,UDI
860,2,DC
862,2,IND
865,2,UDI
866,2,IND
867,2,RN
868,2,RN
869,2,PS
874,2,UDI
875,2,UDI
876,2,PPD
877,2,DC
879,2,DC
880,2,PS
883,2,PS
885,2,PR
888,2,PR
891,2,RN
893,2,DC
897,2,DC
898,2,DC
