party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a,replicate
COMUNES,P1,P2,2,1,-0.8895686294502297,-0.9005555013272231,-0.01098687187699332,1
COMUNES,P1,P3,2,1,-0.8895686294502297,-0.8940365963724696,-0.00446796692223983,1
COMUNES,P2,P3,1,1,-0.9005555013272231,-0.8940365963724696,0.0065189049547534905,1
DC,P1,P2,15,14,-0.14364922224460341,-0.1545945247305059,-0.010945302485902475,1
DC,P1,P3,15,14,-0.14364922224460341,-0.0988718121330946,0.04477741011150882,1
DC,P2,P3,14,14,-0.1545945247305059,-0.0988718121330946,0.055722712597411295,1
EVOP,P1,P2,6,6,0.6821010912566042,0.6550573628110183,-0.02704372844558589,1
EVOP,P1,P3,6,6,0.6821010912566042,0.6291565384197828,-0.052944552836821424,1
EVOP,P2,P3,6,6,0.6550573628110183,0.6291565384197828,-0.025900824391235533,1
FRVS,P1,P2,1,1,-0.7103713454033341,-0.6948007583420587,0.015570587061275454,1
FRVS,P1,P3,1,1,-0.7103713454033341,-0.6740399755936922,0.03633136980964191,1
FRVS,P2,P3,1,1,-0.6948007583420587,-0.6740399755936922,0.020760782748366458,1
IND,P1,P2,13,11,-0.5855758933003136,-0.5420029417518808,0.04357295154843277,1
IND,P1,P3,13,11,-0.5855758933003136,-0.7262395962609522,-0.14066370296063868,1
IND,P2,P3,11,11,-0.5420029417518808,-0.7262395962609522,-0.18423665450907145,1
LIBERAL,P1,P2,2,2,-0.6769282484120835,-0.6355474513906159,0.041380797021467686,1
LIBERAL,P1,P3,2,2,-0.6769282484120835,-0.5803730553619922,0.0965551930500913,1
LIBERAL,P2,P3,2,2,-0.6355474513906159,-0.5803730553619922,0.05517439602862362,1
PC,P1,P2,8,8,-0.8436030161242898,-0.8550123977844781,-0.011409381660188345,1
PC,P1,P3,8,8,-0.8436030161242898,-0.8616180441447437,-0.01801502802045396,1
PC,P2,P3,8,8,-0.8550123977844781,-0.8616180441447437,-0.006605646360265616,1
PCS,P2,P3,2,1,-0.7896440387074742,-0.7576552594287007,0.03198877927877353,1
PEV,P1,P2,1,1,-0.8900357343878399,-0.9165584433729277,-0.026522708985087795,1
PEV,P1,P3,1,1,-0.8900357343878399,-0.9519220553530446,-0.061886320965204744,1
PEV,P2,P3,1,1,-0.9165584433729277,-0.9519220553530446,-0.03536361198011695,1
PH,P1,P2,3,2,-0.9089653676885564,-0.9254008629302429,-0.016435495241686526,1
PH,P1,P3,3,2,-0.9089653676885564,-0.9594306611154115,-0.05046529342685513,1
PH,P2,P3,2,2,-0.9254008629302429,-0.9594306611154115,-0.0340297981851686,1
PPD,P1,P2,6,7,-0.609820419067165,-0.6158184831165348,-0.005998064049369756,1
PPD,P1,P3,6,7,-0.609820419067165,-0.6549194776106381,-0.04509905854347307,1
PPD,P2,P3,7,7,-0.6158184831165348,-0.6549194776106381,-0.039100994494103314,1
PR,P1,P2,6,6,-0.35189967395668864,-0.28153592417189044,0.0703637497847982,1
PR,P1,P3,6,6,-0.35189967395668864,-0.1877175911254919,0.16418208283119673,1
