party,target,period,n,median_d1,q25,q75,replicate
COMUNES,P1,17,2,-0.8895686294502297,-0.897506654746759,-0.8816306041537005,1
COMUNES,P2,20,1,-0.9005555013272231,-0.9005555013272231,-0.9005555013272231,1
COMUNES,P3,24,1,-0.8940365963724696,-0.8940365963724696,-0.8940365963724696,1
DC,P1,17,15,-0.14364922224460341,-0.28599139335930257,-0.07672901970603135,1
DC,P2,20,14,-0.1545945247305059,-0.23454599042211885,0.025051331478929156,1
DC,P3,24,14,-0.0988718121330946,-0.20592315666049862,0.09875843652995228,1
EVOP,P1,17,6,0.6821010912566042,0.5794848742004167,0.7492792390802074,1
EVOP,P2,20,6,0.6550573628110183,0.5899548025650896,0.715635096007746,1
EVOP,P3,24,6,0.6291565384197828,0.5595459055785589,0.6363861747728715,1
FRVS,P1,17,1,-0.7103713454033341,-0.7103713454033341,-0.7103713454033341,1
FRVS,P2,20,1,-0.6948007583420587,-0.6948007583420587,-0.6948007583420587,1
FRVS,P3,24,1,-0.6740399755936922,-0.6740399755936922,-0.6740399755936922,1
IND,P1,17,13,-0.5855758933003136,-0.8006623461461068,-0.17782772307540984,1
IND,P2,20,11,-0.5420029417518808,-0.657670717059607,-0.08225813288004113,1
IND,P3,24,11,-0.7262395962609522,-0.7914830038761842,0.02413946872269182,1
LIBERAL,P1,17,2,-0.6769282484120835,-0.7010056794933434,-0.6528508173308238,1
LIBERAL,P2,20,2,-0.6355474513906159,-0.6646018931480281,-0.6064930096332036,1
LIBERAL,P3,24,2,-0.5803730553619922,-0.6160635113542743,-0.5446825993697102,1
PC,P1,17,8,-0.8436030161242898,-0.8686768249078651,-0.8299278433491426,1
PC,P2,20,8,-0.8550123977844781,-0.8695275897260231,-0.8437144209824302,1
PC,P3,24,8,-0.8616180441447437,-0.8762860398595728,-0.8512786656993013,1
PCS,P2,20,2,-0.7896440387074742,-0.7983445114683648,-0.7809435659465837,1
PCS,P3,24,1,-0.7576552594287007,-0.7576552594287007,-0.7576552594287007,1
PEV,P1,17,1,-0.8900357343878399,-0.8900357343878399,-0.8900357343878399,1
PEV,P2,20,1,-0.9165584433729277,-0.9165584433729277,-0.9165584433729277,1
PEV,P3,24,1,-0.9519220553530446,-0.9519220553530446,-0.9519220553530446,1
PH,P1,17,3,-0.9089653676885564,-0.9355844108410069,-0.8998785142913672,1
PH,P2,20,2,-0.9254008629302429,-0.9399276384722466,-0.9108740873882393,1
