party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a
COMUNES,P1,P2,2,1,-0.8544919390865344,-0.826897989021932,0.027593950064602413
COMUNES,P1,P3,2,1,-0.8544919390865344,-0.762829228096001,0.09166271099053347
COMUNES,P2,P3,1,1,-0.826897989021932,-0.762829228096001,0.06406876092593106
DC,P1,P2,15,14,-0.183922449758638,-0.1461147917295805,0.0378076580290575
DC,P1,P3,15,14,-0.183922449758638,-0.095715177969928,0.08820727178871
DC,P2,P3,14,14,-0.1461147917295805,-0.095715177969928,0.0503996137596525
EVOP,P1,P2,6,6,0.6458918157122835,0.681520841543355,0.035629025831071526
EVOP,P1,P3,6,6,0.6458918157122835,0.7447161050215675,0.098824289309284
EVOP,P2,P3,6,6,0.681520841543355,0.7447161050215675,0.06319526347821247
FRVS,P1,P2,1,1,-0.689142588320414,-0.633417623250118,0.055724965070296006
FRVS,P1,P3,1,1,-0.689142588320414,-0.559117669823057,0.13002491849735698
FRVS,P2,P3,1,1,-0.633417623250118,-0.559117669823057,0.07429995342706097
IND,P1,P2,13,11,-0.552794847202349,-0.505481288078154,0.04731355912419499
IND,P1,P3,13,11,-0.552794847202349,-0.646605803283654,-0.09381095608130507
IND,P2,P3,11,11,-0.505481288078154,-0.646605803283654,-0.14112451520550007
LIBERAL,P1,P2,2,2,-0.6528740998960305,-0.587224246865672,0.06564985303035853
LIBERAL,P1,P3,2,2,-0.6528740998960305,-0.49969110949186096,0.15318299040416955
LIBERAL,P2,P3,2,2,-0.587224246865672,-0.49969110949186096,0.08753313737381102
PC,P1,P2,8,8,-0.7993144026531745,-0.7936357390698935,0.005678663583281063
PC,P1,P3,8,8,-0.7993144026531745,-0.7832173384037211,0.016097064249453452
PC,P2,P3,8,8,-0.7936357390698935,-0.7832173384037211,0.01041840066617239
PCS,P2,P3,2,1,-0.764990857940143,-0.713814951146788,0.05117590679335504
PEV,P1,P2,1,1,-0.888423120259268,-0.881805325554176,0.0066177947050919395
PEV,P1,P3,1,1,-0.888423120259268,-0.87298159928072,0.015441520978547896
PEV,P2,P3,1,1,-0.881805325554176,-0.87298159928072,0.008823726273455956
PH,P1,P2,3,2,-0.906039592307048,-0.8861299463954535,0.019909645911594498
PH,P1,P3,3,2,-0.906039592307048,-0.8663463808214285,0.03969321148561955
PH,P2,P3,2,2,-0.8861299463954535,-0.8663463808214285,0.019783565574025053
PPD,P1,P2,6,7,-0.5639099759450675,-0.539437361584271,0.024472614360796507
PPD,P1,P3,6,7,-0.5639099759450675,-0.586585825929438,-0.022675849984370444
PPD,P2,P3,7,7,-0.539437361584271,-0.586585825929438,-0.04714846434516695
PR,P1,P2,6,6,-0.3271884119416925,-0.2547398780288735,0.07244853391281902
PR,P1,P3,6,6,-0.3271884119416925,-0.15820876853474,0.1689796434069525
PR,P2,P3,6,6,-0.2547398780288735,-0.15820876853474,0.09653110949413349
PRI,P1,P2,1,1,-0.679344307863165,-0.653324480320846,0.02601982754231902
PRI,P1,P3,1,1,-0.679344307863165,-0.618631376931088,0.06071293093207697
PRI,P2,P3,1,1,-0.653324480320846,-0.618631376931088,0.03469310338975795
PRO,P2,P3,1,1,-0.803800199481086,-0.81455792409354,-0.010757724612453945
PS,P1,P2,18,18,-0.5997767314616416,-0.5837667744180115,0.016009957043630063
PS,P1,P3,18,18,-0.5997767314616416,-0.562420165026505,0.03735656643513652
PS,P2,P3,18,18,-0.5837667744180115,-0.562420165026505,0.021346609391506455
RD,P1,P2,8,10,-0.717691539937673,-0.7127977462359025,0.004893793701770455
RD,P1,P3,8,10,-0.717691539937673,-0.687406900714163,0.03028463922350999
RD,P2,P3,10,10,-0.7127977462359025,-0.687406900714163,0.025390845521739536
RN,P1,P2,34,36,0.6509953458151335,0.6493236729265071,-0.0016716728886264631
RN,P1,P3,34,33,0.6509953458151335,0.636548997692603,-0.014446348122530539
RN,P2,P3,36,33,0.6493236729265071,0.636548997692603,-0.012774675233904076
UDI,P1,P2,30,31,0.6876353935543025,0.670801850884319,-0.016833542669983492
UDI,P1,P3,30,30,0.6876353935543025,0.700220918161659,0.012585524607356513
UDI,P2,P3,31,30,0.670801850884319,0.700220918161659,0.029419067277340005
