party,target,period,n,median_d1,q25,q75
COMUNES,P1,17,2,-0.8544919390865344,-0.8647207494014583,-0.8442631287716107
COMUNES,P2,20,1,-0.826897989021932,-0.826897989021932,-0.826897989021932
COMUNES,P3,24,1,-0.762829228096001,-0.762829228096001,-0.762829228096001
DC,P1,17,15,-0.183922449758638,-0.2830055469586285,-0.078501509959742
DC,P2,20,14,-0.1461147917295805,-0.22518689416087223,0.011775859242981001
DC,P3,24,14,-0.095715177969928,-0.16235496625844625,0.12295535866583875
EVOP,P1,17,6,0.6458918157122835,0.5781117231413451,0.6795080325451622
EVOP,P2,20,6,0.681520841543355,0.6200785628522915,0.7171187190535803
EVOP,P3,24,6,0.7447161050215675,0.6365294228987985,0.7641641686410268
FRVS,P1,17,1,-0.689142588320414,-0.689142588320414,-0.689142588320414
FRVS,P2,20,1,-0.633417623250118,-0.633417623250118,-0.633417623250118
FRVS,P3,24,1,-0.559117669823057,-0.559117669823057,-0.559117669823057
IND,P1,17,13,-0.552794847202349,-0.795731906021746,-0.156050964192454
IND,P2,20,11,-0.505481288078154,-0.6036900747091465,-0.0630737405037865
IND,P3,24,11,-0.646605803283654,-0.6963785180611465,0.0492984428971375
LIBERAL,P1,17,2,-0.6528740998960305,-0.6669702783782963,-0.6387779214137648
LIBERAL,P2,20,2,-0.587224246865672,-0.6100442895823,-0.564404204149044
LIBERAL,P3,24,2,-0.49969110949186096,-0.534142971187639,-0.46523924779608294
PC,P1,17,8,-0.7993144026531745,-0.8080318408361823,-0.794496777926201
PC,P2,20,8,-0.7936357390698935,-0.8058307372380971,-0.7861245162710953
PC,P3,24,8,-0.7832173384037211,-0.8088398360901323,-0.7697285932323505
PCS,P2,20,2,-0.764990857940143,-0.7650858139135666,-0.7648959019667194
PCS,P3,24,1,-0.713814951146788,-0.713814951146788,-0.713814951146788
PEV,P1,17,1,-0.888423120259268,-0.888423120259268,-0.888423120259268
PEV,P2,20,1,-0.881805325554176,-0.881805325554176,-0.881805325554176
PEV,P3,24,1,-0.87298159928072,-0.87298159928072,-0.87298159928072
PH,P1,17,3,-0.906039592307048,-0.9173043603608719,-0.9009676205759725
PH,P2,20,2,-0.8861299463954535,-0.8967610214555808,-0.8754988713353262
PH,P3,24,2,-0.8663463808214285,-0.8945335371157758,-0.8381592245270812
PPD,P1,17,6,-0.5639099759450675,-0.650212687014242,-0.546586211509247
PPD,P2,20,7,-0.539437361584271,-0.6221488949548231,-0.5227575976983025
PPD,P3,24,7,-0.586585825929438,-0.646597374499108,-0.5381485116794145
PR,P1,17,6,-0.3271884119416925,-0.4357844349952308,-0.21851708619982652
PR,P2,20,6,-0.2547398780288735,-0.420968091485464,-0.10944999642630299
PR,P3,24,6,-0.15820876853474,-0.40221110683009653,0.03703786568567375
PREP,P3,24,1,0.935099888835597,0.935099888835597,0.935099888835597
PRI,P1,17,1,-0.679344307863165,-0.679344307863165,-0.679344307863165
PRI,P2,20,1,-0.653324480320846,-0.653324480320846,-0.653324480320846
PRI,P3,24,1,-0.618631376931088,-0.618631376931088,-0.618631376931088
PRO,P2,20,1,-0.803800199481086,-0.803800199481086,-0.803800199481086
PRO,P3,24,1,-0.81455792409354,-0.81455792409354,-0.81455792409354
PS,P1,17,18,-0.5997767314616416,-0.6373856637749326,-0.5672929466610223
PS,P2,20,18,-0.5837667744180115,-0.6236693462933403,-0.5534558115443218
PS,P3,24,18,-0.562420165026505,-0.595288899805011,-0.5346681440651248
RD,P1,17,8,-0.717691539937673,-0.72754989320654,-0.7152397831831775
RD,P2,20,10,-0.7127977462359025,-0.7190158889871755,-0.698802848684629
RD,P3,24,10,-0.687406900714163,-0.7007322339104965,-0.6725943534893599
RN,P1,17,34,0.6509953458151335,0.6044182145036813,0.710590433958278
RN,P2,20,36,0.6493236729265071,0.5997764911939975,0.7153452659348363
RN,P3,24,33,0.636548997692603,0.557401208430436,0.709553865075409
UDI,P1,17,30,0.6876353935543025,0.6046662029566877,0.7451640658969635
UDI,P2,20,31,0.670801850884319,0.600575128694011,0.7993347508910384
UDI,P3,24,30,0.700220918161659,0.561303141956869,0.858222886294054
