party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,bootstrap_mean_delta,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,p_two_sided,p_monte_carlo_se,p_holm,direction
COMUNES,P1,P2,2,1,-0.8544919390865344,-0.826897989021932,0.027593950064602413,200,0.010895287530593281,-0.01669866253400913,0.01871770406964919,-0.02661401493748005,0.04868899611903956,0.006498904010165264,0.08180191506668488,0.29850746268656714,0.032276846391339466,1.0,inconclusive
COMUNES,P1,P3,2,1,-0.8544919390865344,-0.762829228096001,0.09166271099053347,200,0.05190044818506664,-0.03976226280546683,0.04150418333468863,-0.02951933494447448,0.12706135413065067,0.056264067850416266,0.21284475692554142,0.11442786069651742,0.022453282111459676,1.0,inconclusive
COMUNES,P2,P3,1,1,-0.826897989021932,-0.762829228096001,0.06406876092593106,200,0.04100516065447336,-0.023063600271457693,0.025428765844490282,-0.010800035443474456,0.09053828984884332,0.03759923200301879,0.13893755729533658,0.05970149253731343,0.01671196198129744,1.0,inconclusive
DC,P1,P2,15,14,-0.183922449758638,-0.1461147917295805,0.0378076580290575,200,0.00571898483046363,-0.03208867319859387,0.012513512208314658,-0.019616485538127712,0.02881533210612713,0.04679998395198787,0.09523180159624271,0.3034825870646766,0.032429096511670225,1.0,inconclusive
DC,P1,P3,15,14,-0.183922449758638,-0.095715177969928,0.08820727178871,200,0.03849392812769152,-0.04971334366101848,0.01777655783327949,0.007783532018159256,0.07335867561768447,0.10305586795973554,0.16863101155926075,0.01990049751243781,0.00985074376846826,0.6965174129353233,right
DC,P2,P3,14,14,-0.1461147917295805,-0.095715177969928,0.0503996137596525,200,0.032774943297227896,-0.017624670462424608,0.013110314336545933,0.008785184100915357,0.05663094072851498,0.044168286790790025,0.09201404341838965,0.014925373134328358,0.008552619211607247,0.582089552238806,right
EVOP,P1,P2,6,6,0.6458918157122835,0.681520841543355,0.035629025831071526,200,-0.022128539753272638,-0.05775756558434417,0.022133123538842517,-0.0642924348891895,0.02112050232161412,0.05013754934052893,0.13555048655133256,0.8258706467661692,0.026748164169691144,1.0,inconclusive
EVOP,P1,P3,6,6,0.6458918157122835,0.7447161050215675,0.098824289309284,200,-0.041724506237511394,-0.1405487955467954,0.04272260767573688,-0.11321626229944942,0.047227951316037735,0.15042062730253025,0.3108648409180174,0.8407960199004975,0.025806211680396478,1.0,inconclusive
EVOP,P2,P3,6,6,0.681520841543355,0.7447161050215675,0.06319526347821247,200,-0.019595966484238753,-0.08279122996245122,0.02608646859322827,-0.0676531761634492,0.027059207323415376,0.09933131963300956,0.19404370311987412,0.7761194029850746,0.02940183729453583,1.0,inconclusive
FRVS,P1,P2,1,1,-0.689142588320414,-0.633417623250118,0.055724965070296006,200,0.04132891863433752,-0.014396046435958487,0.01644999516275919,0.009180466021271746,0.07189496279379941,0.039554967346792605,0.10226946411932027,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
FRVS,P1,P3,1,1,-0.689142588320414,-0.559117669823057,0.13002491849735698,200,0.09643414348012086,-0.03359077501723612,0.0383833220464382,0.021421087382965612,0.1677549131855327,0.09229492380918125,0.23862874961174835,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
FRVS,P2,P3,1,1,-0.633417623250118,-0.559117669823057,0.07429995342706097,200,0.05510522484578334,-0.01919472858127763,0.02193332688367901,0.012240621361693866,0.0958599503917333,0.052739956462388646,0.13635928549242807,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
IND,P1,P2,13,11,-0.552794847202349,-0.505481288078154,0.04731355912419499,200,0.033137437303972235,-0.014176121820222758,0.012666380173463668,1.3857737118597117e-06,0.048981354870130625,0.04564576337825936,0.09462573247467812,0.029850746268656716,0.012003249811990904,1.0,right
IND,P1,P3,13,11,-0.552794847202349,-0.646605803283654,-0.09381095608130507,200,-0.11416384511809614,-0.02035288903679107,0.031694513156073925,-0.1731114995672329,-0.04691770400510958,-0.14070420815750057,-0.014510412595377248,0.004975124378109453,0.0049627330154608604,0.24875621890547264,left
IND,P2,P3,11,11,-0.505481288078154,-0.646605803283654,-0.14112451520550007,200,-0.14730128242206839,-0.0061767672165683185,0.026793854806151235,-0.19144765786706086,-0.09081498058362722,-0.19143404982737292,-0.09080137254393927,0.004975124378109453,0.0049627330154608604,0.24875621890547264,left
LIBERAL,P1,P2,2,2,-0.6528740998960305,-0.587224246865672,0.06564985303035853,200,0.05085395393285529,-0.014795899097503236,0.008750867216902146,0.03481860996959759,0.06973827956087779,0.06156142649983927,0.09648109609111946,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
LIBERAL,P1,P3,2,2,-0.6528740998960305,-0.49969110949186096,0.15318299040416955,200,0.11865922584332896,-0.034523764560840595,0.020418690172771693,0.08124342326239427,0.16272265230871472,0.14364332849962438,0.22512255754594485,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
LIBERAL,P2,P3,2,2,-0.587224246865672,-0.49969110949186096,0.08753313737381102,200,0.06780527191047366,-0.019727865463337366,0.011667822955869548,0.04642481329279668,0.09298437274783691,0.08208190199978513,0.12864146145482536,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
PC,P1,P2,8,8,-0.7993144026531745,-0.7936357390698935,0.005678663583281063,200,-0.006371616104036738,-0.0120502796873178,0.006720203013107089,-0.01962479152971038,0.00590145015933701,0.005455877007225116,0.030982118696272504,0.8308457711442786,0.026442566666648255,1.0,inconclusive
PC,P1,P3,8,8,-0.7993144026531745,-0.7832173384037211,0.016097064249453452,200,-0.01140356364154333,-0.027500627890996783,0.015356927477201038,-0.042139028682207175,0.016393098205461615,0.01580103029344529,0.07433315718111408,0.7661691542288557,0.0298548712940711,1.0,inconclusive
PC,P2,P3,8,8,-0.7936357390698935,-0.7832173384037211,0.01041840066617239,200,-0.005031947537506593,-0.015450348203678983,0.011064531042828396,-0.025566678881882635,0.017626426164954644,0.0032103751673901344,0.04640348021422741,0.7064676616915423,0.032120041067644954,1.0,inconclusive
PCS,P2,P3,2,1,-0.764990857940143,-0.713814951146788,0.05117590679335504,200,0.023463907519411836,-0.027711999273943206,0.034880378106438154,-0.04819429918751349,0.0822311907040572,0.020120622882652886,0.15054611277422358,0.27860696517412936,0.031621606390242994,1.0,inconclusive
PEV,P1,P2,1,1,-0.888423120259268,-0.881805325554176,0.0066177947050919395,200,-0.002109181187364753,-0.008726975892456693,0.015137915196597932,-0.028121587581495484,0.026474310294511905,-0.013238720884328026,0.04135717699167936,0.7263681592039801,0.03144587520100564,1.0,inconclusive
PEV,P1,P3,1,1,-0.888423120259268,-0.87298159928072,0.015441520978547896,200,-0.004921422770517719,-0.020362943749065616,0.03532180212539533,-0.06561703769015645,0.0617733906871951,-0.030890348730099305,0.09650007964725224,0.7263681592039801,0.03144587520100564,1.0,inconclusive
PEV,P2,P3,1,1,-0.881805325554176,-0.87298159928072,0.008823726273455956,200,-0.0028122415831529656,-0.011635967856608921,0.0201838869287974,-0.03749545010866097,0.035299080392683195,-0.017651627845771282,0.05514290265557288,0.7263681592039801,0.03144587520100564,1.0,inconclusive
PH,P1,P2,3,2,-0.906039592307048,-0.8861299463954535,0.019909645911594498,200,0.010956285861287838,-0.00895336005030666,0.016774069213626945,-0.021158446461656082,0.04322327454163267,-0.0034039827184436725,0.06097773828484508,0.3333333333333333,0.03325031120358777,1.0,inconclusive
PH,P1,P3,3,2,-0.906039592307048,-0.8663463808214285,0.03969321148561955,200,0.013615902591897737,-0.026077308893721812,0.03387662168896588,-0.05163502761964465,0.07627677348426377,0.003109649486975327,0.13102145059088374,0.3781094527363184,0.034203276914360106,1.0,inconclusive
PH,P2,P3,2,2,-0.8861299463954535,-0.8663463808214285,0.019783565574025053,200,0.0026596167306099016,-0.01712394884341515,0.018445447226509176,-0.03408082737569854,0.03957232550271455,-5.194354664443679e-06,0.07364795852374864,0.4427860696517413,0.0350356297802683,1.0,inconclusive
PPD,P1,P2,6,7,-0.5639099759450675,-0.539437361584271,0.024472614360796507,200,0.011313593411083591,-0.013159020949712916,0.013255871232434222,-0.016015682685404396,0.0331655663670142,0.015779662354578818,0.06496091140699742,0.20398009950248755,0.02842220932007299,1.0,inconclusive
PPD,P1,P3,6,7,-0.5639099759450675,-0.586585825929438,-0.022675849984370444,200,-0.04848538005915046,-0.025809530074780013,0.025955009468028593,-0.09658213666840858,0.0019198354326137304,-0.04727153540135462,0.05123043669966769,0.572139303482587,0.03489828296201337,1.0,inconclusive
PPD,P2,P3,7,7,-0.539437361584271,-0.586585825929438,-0.04714846434516695,200,-0.05979897347023405,-0.0126505091250671,0.023206131891531052,-0.10541200252120166,-0.017098715924046232,-0.07719821276628767,0.011115073830867753,0.0845771144278607,0.019626338550278188,1.0,left
PR,P1,P2,6,6,-0.3271884119416925,-0.2547398780288735,0.07244853391281902,200,0.06005439838144802,-0.012394135531371003,0.0073058046091287,0.04360006068473752,0.0740001766507693,0.07089689117486875,0.10129700714090054,0.004975124378109453,0.0049627330154608604,0.24875621890547264,right
