party,target,period,n,observed_median_d1,q25,q75,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
COMUNES,P1,17,2,-0.8544919390865344,-0.8647207494014583,-0.8442631287716107,200,-0.8952882224609883,-0.040796283374453846,0.016014339057369754,-0.9285999334694042,-0.8661699062568302,-0.8428139719162386,-0.7803839447036647
COMUNES,P2,20,1,-0.826897989021932,-0.826897989021932,-0.826897989021932,200,-0.8843929349303948,-0.057494945908462824,0.01916848173423183,-0.9203549774790406,-0.848843902779335,-0.804952075264529,-0.7334410005648234
COMUNES,P3,24,1,-0.762829228096001,-0.762829228096001,-0.762829228096001,200,-0.8433877742759216,-0.08055854617992064,0.03784173925385491,-0.9216360402294819,-0.7747819816418354,-0.7508764745501665,-0.60402241596252
DC,P1,17,15,-0.183922449758638,-0.2830055469586285,-0.078501509959742,200,-0.17288321782509775,0.011039231933540256,0.012166825573779478,-0.1973449671594655,-0.15340098548688305,-0.21444391403039295,-0.1704999323578105
DC,P2,20,14,-0.1461147917295805,-0.22518689416087223,0.011775859242981001,200,-0.16716423299463415,-0.021049441265053648,0.014868610330826404,-0.19544843065063014,-0.14033132811891483,-0.15189825534024617,-0.09678115280853086
DC,P3,24,14,-0.095715177969928,-0.16235496625844625,0.12295535866583875,200,-0.13438928969740624,-0.03867411172747824,0.02018264525122186,-0.1706811661213585,-0.09652415883497788,-0.09490619710487812,-0.020749189818497493
EVOP,P1,17,6,0.6458918157122835,0.5781117231413451,0.6795080325451622,200,0.6791095593646412,0.033217743652357745,0.019845911066657288,0.6433040125441524,0.7167974094732256,0.5749862219513414,0.6484796188804146
EVOP,P2,20,6,0.681520841543355,0.6200785628522915,0.7171187190535803,200,0.6569810196113686,-0.02453982193198645,0.017410250997363427,0.6243624524981458,0.6896745376392438,0.6733671454474662,0.7386792305885642
EVOP,P3,24,6,0.7447161050215675,0.6365294228987985,0.7641641686410268,200,0.6373850531271298,-0.1073310518944377,0.03618667085706267,0.5751788494748359,0.704686185753611,0.784746024289524,0.9142533605682991
FRVS,P1,17,1,-0.689142588320414,-0.689142588320414,-0.689142588320414,200,-0.7302915562728413,-0.041148967952427284,0.01753079788764824,-0.7601995791393974,-0.6978846765914355,-0.6804005000493925,-0.6180855975014306
FRVS,P2,20,1,-0.633417623250118,-0.633417623250118,-0.633417623250118,200,-0.6889626376385037,-0.05554501438838577,0.018937873565988847,-0.7237350627891701,-0.6519404004078662,-0.6148948460923698,-0.5431001837110658
FRVS,P3,24,1,-0.559117669823057,-0.559117669823057,-0.559117669823057,200,-0.6338574127927203,-0.07473974296966335,0.035622126719580344,-0.6950317540376337,-0.5724041342530841,-0.5458312053930299,-0.42320358560848026
IND,P1,17,13,-0.552794847202349,-0.795731906021746,-0.156050964192454,200,-0.5925284205989246,-0.03973357339657568,0.011864019906699701,-0.6160981178305016,-0.5701116210559343,-0.5354780733487636,-0.4894915765741963
