party,pair,n_a,n_b,median_a,median_b,observed_delta,bootstrap_se,normal_lo,normal_hi,normal_excl0,sign_consist,percentile_ci_lower,percentile_ci_upper,p_two_sided,p_holm
UDI,P1->P2,30,31,0.6876353935543025,0.670801850884319,-0.0168335426699834,0.0159387591107528,-0.04807351052705888,0.014406425187092089,incl 0,181/20,-0.0517351040035174,0.007832230019693,0.308457711442786,1.0
RN,P1->P2,34,36,0.6509953458151335,0.6493236729265071,-0.0016716728886264,0.012738228124627,-0.026638600012895322,0.02329525423564252,incl 0,199/20,-0.0524249476084678,-0.0047948437114151,0.9850746268656716,1.0
RD,P1->P2,8,10,-0.717691539937673,-0.7127977462359025,0.0048937937017704,0.0109435565703016,-0.016555577176020735,0.026343164579561533,incl 0,125/20,-0.0284013159575376,0.0141730679765478,0.7263681592039801,1.0
PC,P1->P2,8,8,-0.7993144026531745,-0.7936357390698935,0.005678663583281,0.006720203013107,-0.007492934322408719,0.018850261488970718,incl 0,166/20,-0.0196247915297103,0.005901450159337,0.8308457711442786,1.0
PS,P1->P2,18,18,-0.5997767314616416,-0.5837667744180115,0.01600995704363,0.0073160569412814,0.0016704854387184585,0.030349428648541545,RIGHT,135/20,-0.0101624351022695,0.0164078603800605,0.3283582089552239,1.0
PPD,P1->P2,6,7,-0.5639099759450675,-0.539437361584271,0.0244726143607965,0.0132558712324342,-0.0015088932547745286,0.05045412197636753,incl 0,160/20,-0.0160156826854043,0.0331655663670142,0.2039800995024875,1.0
EVOP,P1->P2,6,6,0.6458918157122835,0.681520841543355,0.0356290258310715,0.0221331235388425,-0.007751896305059798,0.07900994796720279,incl 0,165/20,-0.0642924348891895,0.0211205023216141,0.8258706467661692,1.0
DC,P1->P2,15,14,-0.183922449758638,-0.1461147917295805,0.0378076580290575,0.0125135122083146,0.013281174100760886,0.062334141957354115,RIGHT,140/20,-0.0196164855381277,0.0288153321061271,0.3034825870646766,1.0
IND,P1->P2,13,11,-0.552794847202349,-0.505481288078154,0.0473135591241949,0.0126663801734636,0.022487453984206245,0.07213966426418356,RIGHT,195/20,1.3857737118597115e-06,0.0489813548701306,0.0298507462686567,1.0
PR,P1->P2,6,6,-0.3271884119416925,-0.2547398780288735,0.072448533912819,0.0073058046091287,0.058129156878926745,0.08676791094671124,RIGHT,200/20,0.0436000606847375,0.0740001766507693,0.0049751243781094,0.2487562189054726
IND,P1->P3,13,11,-0.552794847202349,-0.646605803283654,-0.093810956081305,0.0316945131560739,-0.15593220186720985,-0.031689710295400166,LEFT,200/20,-0.1731114995672329,-0.0469177040051095,0.0049751243781094,0.2487562189054726
PPD,P1->P3,6,7,-0.5639099759450675,-0.586585825929438,-0.0226758499843704,0.0259550094680285,-0.07354766854170626,0.028195968572965458,incl 0,194/20,-0.0965821366684085,0.0019198354326137,0.572139303482587,1.0
