replicate,log_likelihood,beta,w2,classification_pct,valid_votes,iterations,converged,final_ll_improvement,elapsed_seconds,which,seconds_seeds,seconds_engine
0,-64556.12025533549,4.496201210817239,0.526799862545216,94.3279,442519.0,4.0,0.0,1620.797525252689,126.84,OBSERVED,,
1,-65102.41594696496,4.707357590915127,0.53437990228945,93.7274,436740.0,4.0,0.0,823.268491216601,138.59,replicate,247.1,138.8
2,-64465.25135718983,4.794525077533741,0.526655964838849,93.856,435841.0,4.0,0.0,560.151922048193,138.65,replicate,249.0,138.9
3,-64382.93443015061,4.829282702450881,0.530951649466494,93.8172,435901.0,4.0,0.0,648.118002410578,138.55,replicate,246.9,138.8
4,-65064.00913403411,4.684817755343532,0.529763071526364,93.7499,435623.0,4.0,0.0,722.030097771501,140.03,replicate,245.8,140.3
5,-64925.720230460516,4.752557174468596,0.529739575106977,93.7811,437422.0,4.0,0.0,661.873835170074,164.71,replicate,252.1,165.0
6,-64869.64459668501,4.77815495619549,0.527063030375044,93.7618,436902.0,4.0,0.0,727.138818732717,164.62,replicate,251.9,164.9
7,-64230.652651214245,4.867875927515425,0.52952992698896,93.8027,436527.0,4.0,0.0,719.511953965142,167.09,replicate,249.8,167.3
8,-64993.58864796142,4.741526305418963,0.527302116634526,93.8028,437229.0,4.0,0.0,693.621235910752,165.7,replicate,255.8,166.0
9,-64622.565576935755,4.750986490974267,0.528308943883296,93.7982,435909.0,4.0,0.0,860.126135241568,143.75,replicate,252.7,144.0
10,-65217.63056238617,4.730572567887802,0.528132388026408,93.7624,436756.0,4.0,0.0,833.621973711648,143.94,replicate,255.0,144.2
11,-64468.08308215751,4.757620546728402,0.534687866648614,93.7977,435888.0,4.0,0.0,923.126956651053,142.62,replicate,256.3,142.9
12,-64496.429823922255,4.842558839953272,0.527874767975758,93.8151,436014.0,4.0,0.0,669.869924992287,144.13,replicate,254.6,144.4
13,-65506.69545789764,4.793316845106199,0.527545657443126,93.77,435827.0,4.0,0.0,757.745563431446,140.78,replicate,262.7,141.0
14,-65321.71758740867,4.671453900631099,0.528728846659666,93.7773,435277.0,4.0,0.0,872.614919789688,140.04,replicate,262.9,140.3
15,-64743.69969558024,4.731272653768182,0.527081935339188,93.8171,436525.0,4.0,0.0,741.62929984973,140.48,replicate,261.6,140.7
16,-64381.10611492753,4.773710435038133,0.528866886826272,93.8461,436506.0,4.0,0.0,674.594860013975,139.55,replicate,264.2,139.8
