replicate,replicate_seed,stage,status,elapsed_seconds,return_code,message
1,4263916237476363307,generate,succeeded,4.916774272918701,,
2,3767574319581814286,generate,succeeded,4.915389060974121,,
3,10770439573689795302,generate,succeeded,4.591858386993408,,
4,9420172540223973273,generate,succeeded,4.918179273605347,,
5,17667101627407176703,generate,succeeded,2.5214948654174805,,
1,4263916237476363307,generate,skipped_existing,0.0019984245300292,,
2,3767574319581814286,generate,skipped_existing,0.0024707317352294,,
3,10770439573689795302,generate,skipped_existing,0.0020909309387207,,
4,9420172540223973273,generate,skipped_existing,0.0021641254425048,,
5,17667101627407176703,generate,skipped_existing,0.0022039413452148,,
6,9466865439602090902,generate,succeeded,10.040826797485352,,
7,16053170213937734912,generate,succeeded,9.991840839385986,,
8,10352446989481306295,generate,succeeded,9.53773021697998,,
9,1927370380407218368,generate,succeeded,9.2775981426239,,
10,1756988858565773744,generate,succeeded,9.301535844802856,,
11,9355715132680117036,generate,succeeded,9.5396409034729,,
12,3185443614746384919,generate,succeeded,9.460529088974,,
13,1005429051295307704,generate,succeeded,10.051571607589722,,
14,15657692087608219939,generate,succeeded,9.810401439666748,,
15,13223839798784290255,generate,succeeded,10.238567113876345,,
16,9667960317055517749,generate,succeeded,9.363172054290771,,
17,8434116084496240299,generate,succeeded,10.020206212997437,,
18,4788992345531202607,generate,succeeded,7.723010301589966,,
19,563475940611448870,generate,succeeded,7.234059333801269,,
20,1099261088480973403,generate,succeeded,6.860484600067139,,
1,4263916237476363307,fit,succeeded,386.866943359375,0.0,
2,3767574319581814286,fit,succeeded,388.7783517837525,0.0,
3,10770439573689795302,fit,succeeded,386.6683378219605,0.0,
4,9420172540223973273,fit,succeeded,387.0225386619568,0.0,
5,17667101627407176703,fit,succeeded,418.0192501544952,0.0,
6,9466865439602090902,fit,succeeded,417.6955032348633,0.0,
7,16053170213937734912,fit,succeeded,417.97074794769287,0.0,
8,10352446989481306295,fit,succeeded,422.6354129314423,0.0,
9,1927370380407218368,fit,succeeded,397.772759437561,0.0,
10,1756988858565773744,fit,succeeded,400.2171809673309,0.0,
11,9355715132680117036,fit,succeeded,400.2010090351105,0.0,
12,3185443614746384919,fit,succeeded,399.759984254837,0.0,
13,1005429051295307704,fit,succeeded,404.5126106739044,0.0,
14,15657692087608219939,fit,succeeded,404.04002475738525,0.0,
15,13223839798784290255,fit,succeeded,403.0924808979034,0.0,
16,9667960317055517749,fit,succeeded,404.7229251861572,0.0,
17,8434116084496240299,fit,succeeded,374.4103400707245,0.0,
18,4788992345531202607,fit,succeeded,376.2216241359711,0.0,
19,563475940611448870,fit,succeeded,376.1820182800293,0.0,
20,1099261088480973403,fit,succeeded,376.7919249534607,0.0,
1,4263916237476363307,generate,skipped_existing,0.003138780593872,,
2,3767574319581814286,generate,skipped_existing,0.0031306743621826,,
3,10770439573689795302,generate,skipped_existing,0.0032305717468261,,
4,9420172540223973273,generate,skipped_existing,0.0029420852661132,,
5,17667101627407176703,generate,skipped_existing,0.0020346641540527,,
6,9466865439602090902,generate,skipped_existing,0.0020475387573242,,
7,16053170213937734912,generate,skipped_existing,0.002108097076416,,
8,10352446989481306295,generate,skipped_existing,0.0019729137420654,,
9,1927370380407218368,generate,skipped_existing,0.0021166801452636,,
10,1756988858565773744,generate,skipped_existing,0.0020833015441894,,
11,9355715132680117036,generate,skipped_existing,0.0020861625671386,,
12,3185443614746384919,generate,skipped_existing,0.0022633075714111,,
13,1005429051295307704,generate,skipped_existing,0.0022156238555908,,
14,15657692087608219939,generate,skipped_existing,0.0021331310272216,,
15,13223839798784290255,generate,skipped_existing,0.0021650791168212,,
16,9667960317055517749,generate,skipped_existing,0.0021710395812988,,
17,8434116084496240299,generate,skipped_existing,0.0020577907562255,,
18,4788992345531202607,generate,skipped_existing,0.0020844936370849,,
19,563475940611448870,generate,skipped_existing,0.0022196769714355,,
20,1099261088480973403,generate,skipped_existing,0.0022544860839843,,
21,9387190014241302932,generate,succeeded,8.948313474655151,,
22,8161987811851625314,generate,succeeded,9.394518852233888,,
23,15236669834255143531,generate,succeeded,8.513167381286621,,
24,2438384819291194908,generate,succeeded,8.84880781173706,,
25,1492263040923006483,generate,succeeded,9.458373546600342,,
26,2499574249591034469,generate,succeeded,8.180676460266113,,
27,7599151430882623097,generate,succeeded,9.019702434539797,,
28,16870106967012567896,generate,succeeded,8.572627305984497,,
