replicate,anchor_rows,d1_correlation_before,d1_correlation_after,determinant,rotation_degrees,alignment_rmse_2d,alignment_rmse_d1
1,1846.0,0.9990226277535236,0.9990226277535236,1.0,0.0,,0.04020779585579091
2,1846.0,0.9983557632382215,0.9983557632382215,1.0,0.0,,0.043723884943148834
3,1846.0,0.9979608465714099,0.9979608465714099,1.0,0.0,,0.04773897265093835
4,1846.0,0.9984438133299173,0.9984438133299173,1.0,0.0,,0.054601152317258
5,1846.0,0.9986937702394059,0.9986937702394059,1.0,0.0,,0.048457232728688585
6,1846.0,0.9985249676392567,0.9985249676392567,1.0,0.0,,0.05014381409732633
7,1846.0,0.9977579016782397,0.9977579016782397,1.0,0.0,,0.05935233132026946
8,1846.0,0.9985611459179705,0.9985611459179705,1.0,0.0,,0.05051058360909224
9,1846.0,0.9986545788803015,0.9986545788803015,1.0,0.0,,0.047267785846231695
10,1846.0,0.9987189751937493,0.9987189751937493,1.0,0.0,,0.05923561489325
11,1846.0,0.9983208548436201,0.9983208548436201,1.0,0.0,,0.047875555061331794
12,1846.0,0.9990412301804159,0.9990412301804162,1.0,0.0,,0.0497619455090002
13,1846.0,0.9982222311741656,0.9982222311741656,1.0,0.0,,0.04252131796058381
14,1846.0,0.9990001771709484,0.9990001771709484,1.0,0.0,,0.04802843100629182
15,1846.0,0.9986595096994708,0.9986595096994708,1.0,0.0,,0.05408418121192672
16,1846.0,0.9989394737589308,0.9989394737589308,1.0,0.0,,0.04560541478436564
17,1846.0,0.9980449317044294,0.9980449317044294,1.0,0.0,,0.05177599675636626
18,1846.0,0.998493954493305,0.998493954493305,1.0,0.0,,0.04097752289350718
19,1846.0,0.9972338971661227,0.9972338971661227,1.0,0.0,,0.06355616134358927
20,1846.0,0.9975514769699739,0.9975514769699739,1.0,0.0,,0.0594691296851302
21,1846.0,0.9978686009636157,0.9978686009636157,1.0,0.0,,0.05406201076518643
22,1846.0,0.9980941228914493,0.9980941228914493,1.0,0.0,,0.04556166835316864
23,1846.0,0.9975214058720484,0.9975214058720484,1.0,0.0,,0.05650453742545969
24,1846.0,0.9970819471472856,0.9970819471472856,1.0,0.0,,0.0680267441518547
25,1846.0,0.9979708931229065,0.9979708931229065,1.0,0.0,,0.059016487986182385
26,1846.0,0.9986216150664681,0.9986216150664681,1.0,0.0,,0.047960324001348545
27,1846.0,0.9986021551445852,0.9986021551445852,1.0,0.0,,0.04828802666892021
