replicate,directory,status,coordinate_rows,legislators,periods
1,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0001,succeeded,1846,163,12
2,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0002,succeeded,1846,163,12
3,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0003,succeeded,1846,163,12
4,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0004,succeeded,1846,163,12
5,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0005,succeeded,1846,163,12
6,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0006,succeeded,1846,163,12
7,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0007,succeeded,1846,163,12
8,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0008,succeeded,1846,163,12
9,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0009,succeeded,1846,163,12
10,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0010,succeeded,1846,163,12
11,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0011,succeeded,1846,163,12
12,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0012,succeeded,1846,163,12
13,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0013,succeeded,1846,163,12
14,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0014,succeeded,1846,163,12
15,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0015,succeeded,1846,163,12
16,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0016,succeeded,1846,163,12
17,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0017,succeeded,1846,163,12
18,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0018,succeeded,1846,163,12
19,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0019,succeeded,1846,163,12
20,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0020,succeeded,1846,163,12
21,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0021,succeeded,1846,163,12
22,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0022,succeeded,1846,163,12
23,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0023,succeeded,1846,163,12
24,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0024,succeeded,1846,163,12
25,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0025,succeeded,1846,163,12
26,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0026,succeeded,1846,163,12
27,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0027,succeeded,1846,163,12
28,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0028,succeeded,1846,163,12
29,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0029,succeeded,1846,163,12
30,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0030,succeeded,1846,163,12
31,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0031,succeeded,1846,163,12
32,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0032,succeeded,1846,163,12
33,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0033,succeeded,1846,163,12
34,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0034,succeeded,1846,163,12
35,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0035,succeeded,1846,163,12
36,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0036,succeeded,1846,163,12
37,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0037,succeeded,1846,163,12
38,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0038,succeeded,1846,163,12
39,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0039,succeeded,1846,163,12
40,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0040,succeeded,1846,163,12
41,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0041,succeeded,1846,163,12
42,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0042,succeeded,1846,163,12
43,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0043,succeeded,1846,163,12
44,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0044,succeeded,1846,163,12
45,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0045,succeeded,1846,163,12
46,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0046,succeeded,1846,163,12
47,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0047,succeeded,1846,163,12
48,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0048,succeeded,1846,163,12
49,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0049,succeeded,1846,163,12
50,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0050,succeeded,1846,163,12
51,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0051,succeeded,1846,163,12
52,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0052,succeeded,1846,163,12
53,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0053,succeeded,1846,163,12
54,C:\Users\cow\Documents\GitHub\quevotan-db\reproduce\out\ried2022_poi4\bootstrap\replicate_0054,succeeded,1846,163,12
