legislator_id,first_period,last_period,observed_period_count,parties_at_targets,in_full,in_balanced,in_stable,in_continuous,in_bridge
1000,1,12,12,PS,True,True,True,True,False
1001,1,12,12,PS,True,True,True,True,False
1002,1,12,12,PS,True,True,True,True,False
1003,2,12,11,UDI,True,True,True,False,False
1005,1,12,12,UDI,True,True,True,True,False
1006,1,12,12,PC,True,True,True,True,False
1008,1,12,12,PH,True,True,True,True,False
1009,1,12,12,UDI,True,True,True,True,False
1010,1,12,12,EVOP,True,True,True,True,False
1011,2,12,11,UDI,True,True,True,False,False
1012,1,12,12,PC,True,True,True,True,False
1013,1,12,12,LIBERAL,True,True,True,True,False
1014,1,12,12,IND,True,True,True,True,False
1015,1,12,12,RD,True,True,True,True,False
1016,1,12,12,DC,True,True,True,True,False
1017,1,12,12,UDI,True,True,True,True,False
1018,1,12,12,RD,True,True,True,True,False
1019,1,12,12,RN,True,True,True,True,False
1020,1,12,12,PPD,True,True,True,True,False
1021,1,12,12,RN,True,True,True,True,False
1022,1,12,12,RN,True,True,True,True,False
1023,1,12,12,RD,True,True,True,True,False
1024,1,12,12,EVOP,True,True,True,True,False
1025,1,12,12,RN,True,True,True,True,False
1026,1,8,8,RN,True,False,False,False,False
1027,1,12,12,RN,True,True,True,True,False
1028,1,12,12,RN,True,True,True,True,False
1029,1,12,12,RN,True,True,True,True,False
1030,1,12,12,RN,True,True,True,True,False
1031,1,12,12,UDI,True,True,True,True,False
1032,1,12,12,RN,True,True,True,True,False
1033,1,9,9,RD,True,False,False,False,False
1034,1,12,12,PEV,True,True,True,True,False
1035,1,12,12,PC,True,True,True,True,False
1036,1,12,12,IND|PH,True,True,False,False,False
1037,1,12,12,IND|PCS,True,True,False,False,False
1038,1,12,12,PS,True,True,True,True,False
1039,1,12,11,PH,True,True,True,False,False
1040,1,12,12,RN,True,True,True,True,False
1041,1,12,12,EVOP,True,True,True,True,False
1042,1,12,12,EVOP,True,True,True,True,False
1043,1,12,12,PC,True,True,True,True,False
1044,1,12,12,PS,True,True,True,True,False
1045,1,12,11,RN,True,True,True,False,False
1046,2,12,11,RN,True,True,True,False,False
1047,1,12,12,RN,True,True,True,True,False
1048,1,12,12,PPD,True,True,True,True,False
1049,1,12,12,PR,True,True,True,True,False
1050,1,12,12,RN,True,True,True,True,False
1051,1,12,12,COMUNES,True,True,True,True,False
1052,1,12,12,EVOP,True,True,True,True,False
1053,1,12,12,UDI,True,True,True,True,False
1054,1,12,12,RN,True,True,True,True,False
1055,1,12,12,UDI,True,True,True,True,False
1056,1,12,12,PS,True,True,True,True,False
1057,1,12,12,IND,True,True,True,True,False
1058,1,12,12,RD,True,True,True,True,False
1059,1,12,12,RN,True,True,True,True,False
1060,1,12,12,RN,True,True,True,True,False
1061,2,12,11,PPD,True,True,True,False,False
1062,1,12,12,DC,True,True,True,True,False
1063,1,12,12,RD,True,True,True,True,False
1064,1,12,12,IND,True,True,True,True,False
1065,1,12,12,UDI,True,True,True,True,False
1066,1,12,12,UDI,True,True,True,True,False
1067,1,12,12,RN,True,True,True,True,False
1068,1,12,12,COMUNES|IND,True,True,False,False,False
1069,1,12,12,RN,True,True,True,True,False
1070,1,12,12,IND,True,True,True,True,False
1071,1,12,12,PS,True,True,True,True,False
1072,1,12,12,UDI,True,True,True,True,False
1073,1,12,12,PS,True,True,True,True,False
1074,1,12,12,IND|PRO,True,True,False,False,False
1075,1,12,12,RN,True,True,True,True,False
1076,1,12,12,PR,True,True,True,True,False
1077,1,12,12,DC|IND,True,True,False,False,False
1078,1,12,12,PS,True,True,True,True,False
