party,target_a,target_b,delta_balanced,delta_continuous,delta_full,delta_stable,stable_minus_full,same_sign_full_stable
COMUNES,P1,P2,-0.014717135121429914,0.008571763042767078,-0.014717135121429914,0.008571763042767078,0.02328889816419699,False
COMUNES,P1,P3,-0.0032881177310749576,0.020000780433122034,-0.0032881177310749576,0.020000780433122034,0.02328889816419699,False
COMUNES,P2,P3,0.011429017390354956,0.011429017390354956,0.011429017390354956,0.011429017390354956,0.0,True
DC,P1,P2,-0.1268198503107875,-0.10671120483761048,-0.1268198503107875,-0.1323289449281445,-0.005509094617357019,True
DC,P1,P3,-0.29570990813760956,-0.24899281128775752,-0.29570990813760956,-0.30121900275496655,-0.005509094617356991,True
DC,P2,P3,-0.16889005782682204,-0.14228160645014704,-0.16889005782682204,-0.16889005782682204,0.0,True
EVOP,P1,P2,-0.003077416446482406,-0.003077416446482406,-0.003077416446482406,-0.003077416446482406,0.0,True
EVOP,P1,P3,0.011438638417929026,0.011438638417929026,0.011438638417929026,0.011438638417929026,0.0,True
EVOP,P2,P3,0.014516054864411432,0.014516054864411432,0.014516054864411432,0.014516054864411432,0.0,True
FRVS,P1,P2,0.010750105513732011,0.010750105513732011,0.010750105513732011,0.010750105513732011,0.0,True
FRVS,P1,P3,0.02508357953203999,0.02508357953203999,0.02508357953203999,0.02508357953203999,0.0,True
FRVS,P2,P3,0.014333474018307979,0.014333474018307979,0.014333474018307979,0.014333474018307979,0.0,True
IND,P1,P2,-0.07888738680247154,-0.13987978969972595,0.022194377652728914,-0.13987978969972595,-0.16207416735245486,False
IND,P1,P3,-0.32223831213205445,-0.1849575515307065,-0.221156547676854,-0.1849575515307065,0.036198996146147494,True
IND,P2,P3,-0.2433509253295829,-0.045077761830980556,-0.2433509253295829,-0.045077761830980556,0.19827316349860236,True
LIBERAL,P1,P2,-0.02940765098629905,-0.02940765098629905,-0.02940765098629905,-0.02940765098629905,0.0,True
LIBERAL,P1,P3,-0.06861785230136497,-0.06861785230136497,-0.06861785230136497,-0.06861785230136497,0.0,True
LIBERAL,P2,P3,-0.03921020131506592,-0.03921020131506592,-0.03921020131506592,-0.03921020131506592,0.0,True
PC,P1,P2,-0.06912923632447898,-0.06912923632447898,-0.07077194024346356,-0.06912923632447898,0.0016427039189845782,True
PC,P1,P3,-0.16573622174705493,-0.16573622174705493,-0.16496329885762262,-0.16573622174705493,-0.0007729228894323148,True
PC,P2,P3,-0.09660698542257595,-0.09660698542257595,-0.09419135861415906,-0.09660698542257595,-0.002415626808416893,True
PCS,P2,P3,-0.004848914365775947,,-0.006887353751518499,,,False
PEV,P1,P2,-0.036668216639481055,-0.036668216639481055,-0.036668216639481055,-0.036668216639481055,0.0,True
PEV,P1,P3,-0.08555917215879105,-0.08555917215879105,-0.08555917215879105,-0.08555917215879105,0.0,True
PEV,P2,P3,-0.04889095551931,-0.04889095551931,-0.04889095551931,-0.04889095551931,0.0,True
PH,P1,P2,-0.005310133549116913,-0.042179495925640964,-0.005310133549116913,-0.012780657621394464,-0.007470524072277551,True
PH,P1,P3,-0.022351010377643532,-0.09841882382649603,-0.022351010377643532,-0.029821534449921083,-0.007470524072277551,True
PH,P2,P3,-0.01704087682852662,-0.05623932790085506,-0.01704087682852662,-0.01704087682852662,0.0,True
PPD,P1,P2,-0.09070093344046593,-0.06086521020687141,-0.06539191293138602,-0.09070093344046593,-0.025309020509079905,True
