cohort,target_a,target_b,n_parties,median_party_shift,minimum_party_shift,maximum_party_shift
balanced,P1,P2,10,-0.06947706219377449,-0.1268198503107875,-0.003077416446482406
balanced,P1,P3,10,-0.15933680944169754,-0.32223831213205445,0.011438638417929026
balanced,P2,P3,10,-0.097607043215165,-0.2433509253295829,0.014516054864411432
continuous,P1,P2,9,-0.06406774281039407,-0.13987978969972595,-0.003077416446482406
continuous,P1,P3,9,-0.142776197079302,-0.24899281128775752,0.011438638417929026
continuous,P2,P3,9,-0.07389558459065404,-0.14228160645014704,0.014516054864411432
full,P1,P2,10,-0.058131625108970464,-0.1268198503107875,0.022194377652728914
full,P1,P3,10,-0.15895034799698138,-0.29570990813760956,0.011438638417929026
full,P2,P3,10,-0.0971226332244366,-0.2433509253295829,0.014516054864411432
stable,P1,P2,10,-0.06947706219377449,-0.13987978969972595,-0.003077416446482406
stable,P1,P3,10,-0.15933680944169754,-0.30121900275496655,0.011438638417929026
stable,P2,P3,10,-0.0834255300829585,-0.16889005782682204,0.014516054864411432
