cohort,party,target_a,target_b,n_paired,median_individual_delta,q25_individual_delta,q75_individual_delta
continuous,COMUNES,P1,P2,1,0.008571763042767078,0.008571763042767078,0.008571763042767078
continuous,DC,P1,P2,12,-0.105092443610177,-0.12665159896566125,-0.0694674339277365
continuous,EVOP,P1,P2,6,-0.015117651202377458,-0.043867378826473735,0.006916453208812512
continuous,FRVS,P1,P2,1,0.010750105513732011,0.010750105513732011,0.010750105513732011
continuous,IND,P1,P2,8,-0.09287595838909204,-0.15903343240059548,-0.048398588885835245
continuous,LIBERAL,P1,P2,2,-0.02940765098629905,-0.04568056581716706,-0.013134736155431037
continuous,PC,P1,P2,7,-0.07277247072759196,-0.07691167146476302,-0.06963679388489652
continuous,PEV,P1,P2,1,-0.036668216639481055,-0.036668216639481055,-0.036668216639481055
continuous,PH,P1,P2,1,-0.042179495925640964,-0.042179495925640964,-0.042179495925640964
continuous,PPD,P1,P2,4,-0.06086521020687147,-0.09590399632339221,-0.029212392461061026
continuous,PR,P1,P2,5,-0.10116876840317002,-0.11091503578695301,-0.09202351246152102
continuous,PRI,P1,P2,1,-0.017423853088821994,-0.017423853088821994,-0.017423853088821994
continuous,PS,P1,P2,17,-0.07073474874058494,-0.07887718818629802,-0.039896527039610996
continuous,RD,P1,P2,7,-0.04718091642328792,-0.05456948466240147,-0.03760929665851853
continuous,RN,P1,P2,26,-0.05140736589667305,-0.06748291403767576,-0.015431097201503707
continuous,UDI,P1,P2,22,-0.03692807860306757,-0.06956692310544749,0.004439139264910241
continuous,COMUNES,P1,P3,1,0.020000780433122034,0.020000780433122034,0.020000780433122034
continuous,DC,P1,P3,12,-0.24521570175707902,-0.29552039758654375,-0.16209067916472003
continuous,EVOP,P1,P3,6,-0.035274519472213495,-0.10235721726177252,0.01613839082056298
continuous,FRVS,P1,P3,1,0.02508357953203999,0.02508357953203999,0.02508357953203999
continuous,IND,P1,P3,8,-0.21671056957454798,-0.37107800893472354,-0.11293004073361576
continuous,LIBERAL,P1,P3,2,-0.06861785230136502,-0.10658798690672353,-0.03064771769600652
continuous,PC,P1,P3,7,-0.16980243169771503,-0.1794605667511135,-0.16248585239809105
continuous,PEV,P1,P3,1,-0.08555917215879105,-0.08555917215879105,-0.08555917215879105
continuous,PH,P1,P3,1,-0.09841882382649603,-0.09841882382649603,-0.09841882382649603
continuous,PPD,P1,P3,4,-0.14201882381603348,-0.22377599142124843,-0.06816224907580903
continuous,PR,P1,P3,5,-0.23606045960739597,-0.25880175016955603,-0.21472152907688197
continuous,PRI,P1,P3,1,-0.04065565720725095,-0.04065565720725095,-0.04065565720725095
continuous,PS,P1,P3,17,-0.16504774706136494,-0.18404677243469497,-0.09309189642575699
continuous,RD,P1,P3,7,-0.11008880498767093,-0.1273287975456035,-0.08775502553654402
continuous,RN,P1,P3,26,-0.11995052042557056,-0.15746013275457704,-0.03600589347017644
continuous,UDI,P1,P3,22,-0.08616551674049056,-0.16232282057937727,0.010357991618123008
continuous,COMUNES,P2,P3,1,0.011429017390354956,0.011429017390354956,0.011429017390354956
continuous,DC,P2,P3,12,-0.140123258146902,-0.1688687986208825,-0.09262324523698354
continuous,EVOP,P2,P3,6,-0.020156868269836037,-0.058489838435298785,0.00922193761175047
continuous,FRVS,P2,P3,1,0.014333474018307979,0.014333474018307979,0.014333474018307979
continuous,IND,P2,P3,8,-0.12383461118545597,-0.212044576534128,-0.0645314518477805
continuous,LIBERAL,P2,P3,2,-0.03921020131506597,-0.06090742108955646,-0.017512981540575484
continuous,PC,P2,P3,7,-0.09702996097012306,-0.10254889528635047,-0.09284905851319453
continuous,PEV,P2,P3,1,-0.04889095551931,-0.04889095551931,-0.04889095551931
continuous,PH,P2,P3,1,-0.05623932790085506,-0.05623932790085506,-0.05623932790085506
continuous,PPD,P2,P3,4,-0.08115361360916201,-0.12787199509785624,-0.03894985661474801
continuous,PR,P2,P3,5,-0.13489169120422595,-0.147886714382603,-0.12269801661536095
continuous,PRI,P2,P3,1,-0.023231804118428956,-0.023231804118428956,-0.023231804118428956
continuous,PS,P2,P3,17,-0.09431299832078,-0.10516958424839695,-0.053195369386145996
continuous,RD,P2,P3,7,-0.06290788856438301,-0.07275931288320203,-0.050145728878025486
continuous,RN,P2,P3,26,-0.0685431545288975,-0.0899772187169013,-0.02057479626867273
continuous,UDI,P2,P3,22,-0.049237438137422984,-0.09275589747392979,0.005918852353212767
