cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a
balanced,COMUNES,P1,P2,2,1,-0.825008541884477,-0.839725677005907,-0.014717135121429914
balanced,COMUNES,P1,P3,2,1,-0.825008541884477,-0.828296659615552,-0.0032881177310749576
balanced,COMUNES,P2,P3,1,1,-0.839725677005907,-0.828296659615552,0.011429017390354956
balanced,DC,P1,P2,15,14,-0.044760456162685,-0.1715803064734725,-0.1268198503107875
balanced,DC,P1,P3,15,14,-0.044760456162685,-0.34047036430029454,-0.29570990813760956
balanced,DC,P2,P3,14,14,-0.1715803064734725,-0.34047036430029454,-0.16889005782682204
balanced,EVOP,P1,P2,6,6,0.6782538439126959,0.6751764274662135,-0.003077416446482406
balanced,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026
balanced,EVOP,P2,P3,6,6,0.6751764274662135,0.689692482330625,0.014516054864411432
balanced,FRVS,P1,P2,1,1,-0.650312881306413,-0.639562775792681,0.010750105513732011
balanced,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999
balanced,FRVS,P2,P3,1,1,-0.639562775792681,-0.625229301774373,0.014333474018307979
balanced,IND,P1,P2,12,11,-0.4533070688802745,-0.532194455682746,-0.07888738680247154
balanced,IND,P1,P3,12,11,-0.4533070688802745,-0.775545381012329,-0.32223831213205445
balanced,IND,P2,P3,11,11,-0.532194455682746,-0.775545381012329,-0.2433509253295829
balanced,LIBERAL,P1,P2,2,2,-0.5714371538763365,-0.6008448048626356,-0.02940765098629905
balanced,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497
balanced,LIBERAL,P2,P3,2,2,-0.6008448048626356,-0.6400550061777015,-0.03921020131506592
balanced,PC,P1,P2,7,7,-0.735586384401118,-0.804715620725597,-0.06912923632447898
balanced,PC,P1,P3,7,7,-0.735586384401118,-0.901322606148173,-0.16573622174705493
balanced,PC,P2,P3,7,7,-0.804715620725597,-0.901322606148173,-0.09660698542257595
balanced,PCS,P2,P3,1,1,-0.768102296495169,-0.772951210860945,-0.004848914365775947
balanced,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055
balanced,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105
balanced,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931
balanced,PH,P1,P2,3,2,-0.899887491424543,-0.90519762497366,-0.005310133549116913
balanced,PH,P1,P3,3,2,-0.899887491424543,-0.9222385018021866,-0.022351010377643532
balanced,PH,P2,P3,2,2,-0.90519762497366,-0.9222385018021866,-0.01704087682852662
balanced,PPD,P1,P2,5,5,-0.513461481115519,-0.604162414555985,-0.09070093344046593
balanced,PPD,P1,P3,5,5,-0.513461481115519,-0.702769515563739,-0.18930803444821998
balanced,PPD,P2,P3,5,5,-0.604162414555985,-0.702769515563739,-0.09860710100775405
balanced,PR,P1,P2,6,6,-0.2330479200152035,-0.3028728080782735,-0.06982488806307
balanced,PR,P1,P3,6,6,-0.2330479200152035,-0.44982209157550646,-0.21677417156030296
balanced,PR,P2,P3,6,6,-0.3028728080782735,-0.44982209157550646,-0.14694928349723296
balanced,PRI,P1,P2,1,1,-0.648184850333521,-0.665608703422343,-0.017423853088821994
balanced,PRI,P1,P3,1,1,-0.648184850333521,-0.688840507540772,-0.04065565720725095
balanced,PRI,P2,P3,1,1,-0.665608703422343,-0.688840507540772,-0.023231804118428956
balanced,PRO,P2,P3,1,1,-0.807806208531565,-0.908890778604038,-0.10108457007247296
balanced,PS,P1,P2,18,18,-0.5511791654031875,-0.6040626547048135,-0.05288348930162601
balanced,PS,P1,P3,18,18,-0.5511791654031875,-0.7041165625395276,-0.15293739713634014
balanced,PS,P2,P3,18,18,-0.6040626547048135,-0.7041165625395276,-0.10005390783471413
balanced,RD,P1,P2,7,9,-0.658960824605082,-0.712907933141939,-0.053947108536857025
balanced,RD,P1,P3,7,9,-0.658960824605082,-0.769886920518866,-0.110926095913784
balanced,RD,P2,P3,9,9,-0.712907933141939,-0.769886920518866,-0.05697898737692697
balanced,RN,P1,P2,32,32,0.7007673370961209,0.6482822732682885,-0.05248506382783247
balanced,RN,P1,P3,32,31,0.7007673370961209,0.577325817741585,-0.12344151935453596
balanced,RN,P2,P3,32,31,0.6482822732682885,0.577325817741585,-0.07095645552670349
balanced,UDI,P1,P2,27,27,0.721541856809094,0.650840823750527,-0.07070103305856701
balanced,UDI,P1,P3,27,27,0.721541856809094,0.592240941845502,-0.12930091496359197
balanced,UDI,P2,P3,27,27,0.650840823750527,0.592240941845502,-0.058599881905024964
continuous,COMUNES,P1,P2,1,1,-0.848297440048674,-0.839725677005907,0.008571763042767078
continuous,COMUNES,P1,P3,1,1,-0.848297440048674,-0.828296659615552,0.020000780433122034
continuous,COMUNES,P2,P3,1,1,-0.839725677005907,-0.828296659615552,0.011429017390354956
continuous,DC,P1,P2,12,12,-0.019862581324394498,-0.126573786162005,-0.10671120483761048
continuous,DC,P1,P3,12,12,-0.019862581324394498,-0.268855392612152,-0.24899281128775752
continuous,DC,P2,P3,12,12,-0.126573786162005,-0.268855392612152,-0.14228160645014704
continuous,EVOP,P1,P2,6,6,0.6782538439126959,0.6751764274662135,-0.003077416446482406
continuous,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026
continuous,EVOP,P2,P3,6,6,0.6751764274662135,0.689692482330625,0.014516054864411432
continuous,FRVS,P1,P2,1,1,-0.650312881306413,-0.639562775792681,0.010750105513732011
continuous,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999
continuous,FRVS,P2,P3,1,1,-0.639562775792681,-0.625229301774373,0.014333474018307979
continuous,IND,P1,P2,8,8,-0.1736703936396495,-0.31355018333937545,-0.13987978969972595
continuous,IND,P1,P3,8,8,-0.1736703936396495,-0.358627945170356,-0.1849575515307065
continuous,IND,P2,P3,8,8,-0.31355018333937545,-0.358627945170356,-0.045077761830980556
continuous,LIBERAL,P1,P2,2,2,-0.5714371538763365,-0.6008448048626356,-0.02940765098629905
continuous,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497
continuous,LIBERAL,P2,P3,2,2,-0.6008448048626356,-0.6400550061777015,-0.03921020131506592
continuous,PC,P1,P2,7,7,-0.735586384401118,-0.804715620725597,-0.06912923632447898
continuous,PC,P1,P3,7,7,-0.735586384401118,-0.901322606148173,-0.16573622174705493
continuous,PC,P2,P3,7,7,-0.804715620725597,-0.901322606148173,-0.09660698542257595
continuous,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055
continuous,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105
continuous,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931
