cohort,party,target,period,n,median_d1,q25,q75,n_new_after_p1,n_near_center,n_effective_model_zero,share_new_after_p1,share_near_center
full,COMUNES,P1,5,2,-0.825008541884477,-0.8366529909665755,-0.8133640928023785,0,0,0,0.0,0.0
full,COMUNES,P2,8,1,-0.839725677005907,-0.839725677005907,-0.839725677005907,0,0,0,0.0,0.0
full,COMUNES,P3,12,1,-0.828296659615552,-0.828296659615552,-0.828296659615552,0,0,0,0.0,0.0
full,DC,P1,5,15,-0.044760456162685,-0.138101340946499,0.0385572039997985,0,8,0,0.0,0.5333333333333333
full,DC,P2,8,14,-0.1715803064734725,-0.256643212239991,-0.03138714179571925,0,6,0,0.0,0.42857142857142855
full,DC,P3,12,14,-0.34047036430029454,-0.4441352582186685,-0.12653827481041074,0,2,0,0.0,0.14285714285714285
full,EVOP,P1,5,6,0.6782538439126959,0.6301751576452025,0.7184549396737567,0,0,0,0.0,0.0
full,EVOP,P2,8,6,0.6751764274662135,0.6132745825888628,0.7195409729101658,0,0,0,0.0,0.0
full,EVOP,P3,12,6,0.689692482330625,0.5721212057206877,0.6930409876353617,0,0,0,0.0,0.0
full,FRVS,P1,5,1,-0.650312881306413,-0.650312881306413,-0.650312881306413,0,0,0,0.0,0.0
full,FRVS,P2,8,1,-0.639562775792681,-0.639562775792681,-0.639562775792681,0,0,0,0.0,0.0
full,FRVS,P3,12,1,-0.625229301774373,-0.625229301774373,-0.625229301774373,0,0,0,0.0,0.0
full,IND,P1,5,13,-0.554388833335475,-0.760414448899733,-0.064385903851721,0,2,0,0.0,0.15384615384615385
full,IND,P2,8,11,-0.532194455682746,-0.6018882556950851,-0.116473213493927,0,0,0,0.0,0.0
full,IND,P3,12,11,-0.775545381012329,-0.8050557254238491,-0.21479520079460102,0,0,0,0.0,0.0
full,LIBERAL,P1,5,2,-0.5714371538763365,-0.5770625253978527,-0.5658117823548202,0,0,0,0.0,0.0
full,LIBERAL,P2,8,2,-0.6008448048626356,-0.6227430912150198,-0.5789465185102513,0,0,0,0.0,0.0
full,LIBERAL,P3,12,2,-0.6400550061777015,-0.6836505123045762,-0.5964595000508268,0,0,0,0.0,0.0
full,PC,P1,5,8,-0.7357652976836899,-0.746852011727245,-0.7253938867389458,0,0,0,0.0,0.0
full,PC,P2,8,8,-0.8065372379271535,-0.814484770907989,-0.8030662497362152,0,0,0,0.0,0.0
full,PC,P3,12,8,-0.9007285965413125,-0.905408429316458,-0.8901940411103425,1,0,1,0.125,0.0
full,PCS,P2,8,2,-0.7660638571094265,-0.7670830768022978,-0.7650446374165553,0,0,0,0.0,0.0
full,PCS,P3,12,1,-0.772951210860945,-0.772951210860945,-0.772951210860945,0,0,0,0.0,0.0
full,PEV,P1,5,1,-0.85883701866152,-0.85883701866152,-0.85883701866152,0,0,0,0.0,0.0
full,PEV,P2,8,1,-0.895505235301001,-0.895505235301001,-0.895505235301001,0,0,0,0.0,0.0
full,PEV,P3,12,1,-0.944396190820311,-0.944396190820311,-0.944396190820311,0,0,0,0.0,0.0
full,PH,P1,5,3,-0.899887491424543,-0.90176899880414,-0.8905354599726685,0,0,0,0.0,0.0
full,PH,P2,8,2,-0.90519762497366,-0.9142802747100475,-0.8961149752372725,0,0,0,0.0,0.0
full,PH,P3,12,2,-0.9222385018021866,-0.9509203770747383,-0.8935566265296347,0,0,0,0.0,0.0
full,PPD,P1,5,6,-0.498370304473027,-0.6011409047484491,-0.4787724802418987,0,0,0,0.0,0.0
full,PPD,P2,8,7,-0.563762217404413,-0.6327796404110104,-0.5534105517241135,0,0,0,0.0,0.0
full,PPD,P3,12,7,-0.725096992476606,-0.7515212776746925,-0.698714662868497,1,0,1,0.14285714285714285,0.0
