cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,observed_delta,successful_replicates,enough_replicates,bootstrap_mean_delta,bootstrap_bias,absolute_bias_over_absolute_delta,bootstrap_se,bootstrap_se_mcse_approx,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper,proportion_negative,proportion_positive,one_sided_basic_upper,one_sided_percentile_upper,p_left_centered_bootstrap,p_two_sided_centered_bootstrap,eligible_party,primary_hypothesis,percentile_direction,p_left_holm_within_family,negative_supported_basic,negative_supported_percentile,robust_negative
balanced,COMUNES,P1,P2,2,1,-0.825008541884477,-0.839725677005907,-0.014717135121429914,999,True,0.017235812900426254,0.031952948021856165,2.1711391353150544,0.020946529157177058,0.00046884771325311986,-0.021497046940540453,0.060467007428424514,-0.08990127767128434,-0.007937223302319375,0.20520520520520522,0.7947947947947948,-0.013434185568818847,0.05214873509157689,0.011,0.805,False,False,inconclusive,,True,False,False
balanced,DC,P1,P2,15,14,-0.044760456162685,-0.1715803064734725,-0.1268198503107875,999,True,-0.11027564954013422,0.016544200770653272,0.1304543470924283,0.021253972275545086,0.00047572923533826535,-0.14926146257791129,-0.06496224087019709,-0.1886774597513779,-0.1043782380436637,1.0,0.0,-0.11167708712625316,-0.07402567480743982,0.001,0.001,True,False,left,0.01,True,True,True
balanced,EVOP,P1,P2,6,6,0.6782538439126959,0.6751764274662135,-0.003077416446482406,999,True,-0.017169279281655445,-0.014091862835173039,4.579121181756381,0.023555267308607915,0.0005272392924783323,-0.06417944501827211,0.02808428495975173,-0.03423911785271654,0.058024612125307296,0.7557557557557557,0.24424424424424424,0.0512272079792653,0.02052401448324488,0.652,0.896,True,False,inconclusive,0.652,False,False,False
balanced,FRVS,P1,P2,1,1,-0.650312881306413,-0.639562775792681,0.010750105513732011,999,True,0.03921026505063761,0.028460159536905602,2.647430715963769,0.019695120368560377,0.000440837337668449,0.0015694284084205822,0.07985621232941444,-0.058356001301950414,0.01993078261904344,0.023023023023023025,0.9769769769769769,0.01266300791216878,0.07002182970855511,0.185,0.839,False,False,right,,False,False,False
balanced,IND,P1,P2,12,11,-0.4533070688802745,-0.532194455682746,-0.07888738680247154,999,True,-0.04971015855364509,0.029177228248826445,0.36985923138618054,0.019967113194930244,0.000446925373242642,-0.08917191538455739,-0.010328840101779688,-0.14744593350316337,-0.06860285822038568,0.990990990990991,0.009009009009009009,-0.07462110891658937,-0.016972511997936264,0.001,0.01,True,False,left,0.01,True,True,True
balanced,LIBERAL,P1,P2,2,2,-0.5714371538763365,-0.6008448048626356,-0.02940765098629905,999,True,0.0028378523272711057,0.03224550331357016,1.09650047630779,0.01750103504684108,0.00039172696343645557,-0.029772701446829593,0.03765759903255749,-0.0964729010051556,-0.029042600525768507,0.43043043043043044,0.5695695695695696,-0.033242414149031556,0.031252521240818176,0.002,0.571,False,False,inconclusive,,True,False,False
balanced,PC,P1,P2,7,7,-0.735586384401118,-0.804715620725597,-0.06912923632447898,999,True,-0.04578459134812156,0.023344644976357423,0.33769568734684513,0.016365287686913397,0.00036630544617506666,-0.0774599572999246,-0.015176033796844601,-0.12308243885211337,-0.06079851534903337,0.998998998998999,0.001001001001001001,-0.06517968053790857,-0.019215169723906213,0.001,0.002,True,False,left,0.01,True,True,True
balanced,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055,999,True,-0.003675621496321768,0.03299259514315929,0.899760014716282,0.018420122411371895,0.0004122989639768154,-0.03999684981862538,0.03251956940466853,-0.10585600268363064,-0.03333958346033673,0.5585585585585585,0.44144144144144143,-0.03815947256721225,0.026078804877004026,0.001,0.442,False,False,inconclusive,,True,False,False
balanced,PH,P1,P2,3,2,-0.899887491424543,-0.90519762497366,-0.005310133549116913,999,True,0.02383468967512433,0.029144823224241244,5.488529234653258,0.022911867322321644,0.0005128380229403646,-0.013358778446213668,0.06958700923375857,-0.0802072763319924,0.002738511347979842,0.11211211211211211,0.8878878878878879,-0.0025824582127063982,0.06007496930404229,0.037,0.924,False,False,inconclusive,,True,False,False
balanced,PPD,P1,P2,5,5,-0.513461481115519,-0.604162414555985,-0.09070093344046593,999,True,-0.06281885151316638,0.027882081927299546,0.3074067803899805,0.020474526126651488,0.0004582828344681956,-0.10303356703020755,-0.023038893389731117,-0.15836297349120074,-0.0783682998507243,0.997997997997998,0.002002002002002002,-0.08478311254987686,-0.02850976055556594,0.001,0.003,True,False,left,0.01,True,True,True
balanced,PR,P1,P2,6,6,-0.2330479200152035,-0.3028728080782735,-0.06982488806307,999,True,-0.04673201332789947,0.023092874735170528,0.33072555324845876,0.01989990874704894,0.000445421131109105,-0.08457432793501377,-0.009654787452260305,-0.12999498867387968,-0.055075448191126225,0.990990990990991,0.009009009009009009,-0.06099286254183956,-0.014617763141313564,0.002,0.011,True,False,left,0.01,True,True,True
balanced,PRI,P1,P2,1,1,-0.648184850333521,-0.665608703422343,-0.017423853088821994,999,True,0.009443135321305645,0.02686698841012764,1.541965963163667,0.019346401195166715,0.0004330319305870989,-0.029166638594731193,0.048111023409040984,-0.08295872958668497,-0.005681067582912796,0.30930930930930933,0.6906906906906907,-0.011938649632420967,0.041308307415517165,0.014,0.704,False,False,inconclusive,,True,False,False
balanced,PS,P1,P2,18,18,-0.5511791654031875,-0.6040626547048135,-0.05288348930162601,999,True,-0.033343015618259614,0.019540473683366394,0.36950046113476825,0.01879276295198071,0.0004206398047919624,-0.06996306936753646,0.0022541277556697515,-0.10802110635892177,-0.03580390923571555,0.964964964964965,0.035035035035035036,-0.04160285145443609,-0.003211914246481657,0.002,0.037,True,False,inconclusive,0.01,True,True,True
balanced,RD,P1,P2,7,9,-0.658960824605082,-0.712907933141939,-0.053947108536857025,999,True,-0.01887124086037562,0.03507586767648141,0.6501899476691572,0.01655008902877995,0.00037044186829493633,-0.052598092217999,0.01313147222466911,-0.12102568929838316,-0.05529612485571505,0.8858858858858859,0.11411411411411411,-0.061325616466101934,0.008092038101150953,0.001,0.115,True,False,inconclusive,0.01,True,False,False
balanced,RN,P1,P2,32,32,0.7007673370961209,0.6482822732682885,-0.05248506382783247,999,True,-0.048806215071782066,0.0036788487560504013,0.0700932510650684,0.018480894245521663,0.00041365922444085287,-0.08565448050656582,-0.01317600347433114,-0.0917941241813338,-0.019315647149099113,0.996996996996997,0.003003003003003003,-0.02506006802587351,-0.01923620021993327,0.002,0.005,True,False,left,0.01,True,True,True
balanced,UDI,P1,P2,27,27,0.721541856809094,0.650840823750527,-0.07070103305856701,999,True,-0.05324222969066931,0.0174588033678977,0.24693844789276634,0.021422372233414907,0.0004794985440655843,-0.09151813148036536,-0.010056415561845567,-0.13134565055528846,-0.049883934636768656,0.992992992992993,0.007007007007007007,-0.0535165865135566,-0.01754314192189277,0.001,0.008,True,False,left,0.01,True,True,True
balanced,COMUNES,P1,P3,2,1,-0.825008541884477,-0.828296659615552,-0.0032881177310749576,999,True,0.07165172301582134,0.0749398407468963,22.791106303361232,0.04631790303073023,0.001036737053460568,-0.01580836813342523,0.16407666618238667,-0.1706529016445366,0.009232132671275314,0.06006006006006006,0.93993993993994,-0.005104556791652686,0.15152817224993242,0.042,0.981,False,False,inconclusive,,True,False,False
balanced,DC,P1,P3,15,14,-0.044760456162685,-0.34047036430029454,-0.29570990813760956,999,True,-0.2578365644117538,0.03787334372585577,0.12807600517812642,0.04770651111704753,0.0010678183710855257,-0.34522824776696076,-0.15264260836084867,-0.43877720791437047,-0.24619156850825835,1.0,0.0,-0.2615464398866632,-0.1737050607637462,0.001,0.001,True,False,left,0.01,True,True,True
balanced,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026,999,True,-0.031124323825781973,-0.042562962243711,3.720981526699666,0.04905423954703395,0.0010979846763356175,-0.12952286566805232,0.06438201933527693,-0.04150474249941888,0.15240014250391037,0.7357357357357357,0.26426426426426425,0.1336262137322473,0.05135600662368729,0.87,0.866,True,False,inconclusive,0.87,False,False,False
balanced,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999,999,True,0.09149061845148773,0.06640703891944774,2.647430715963967,0.0459552808599742,0.001028620454559714,0.0036619996196482897,0.186331162101968,-0.13616400303788803,0.04650515944443169,0.023023023023023025,0.9769769769769769,0.029547018461724275,0.16338426931996186,0.185,0.839,False,False,right,,False,False,False
balanced,IND,P1,P3,12,11,-0.4533070688802745,-0.775545381012329,-0.32223831213205445,999,True,-0.2523730410778521,0.06986527105420237,0.21681242863999153,0.04211211330172404,0.0009425985505099551,-0.3320637838827482,-0.17159283204185377,-0.47288379222225513,-0.3124128403813607,1.0,0.0,-0.3233025437464112,-0.18415337971772155,0.001,0.001,True,False,left,0.01,True,True,True
balanced,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497,999,True,0.006621655430299242,0.07523950773166421,1.0965004763077892,0.0408357484426292,0.00091402958135173,-0.06946963670926988,0.08786773107596631,-0.22510343567869623,-0.06776606789346006,0.43043043043043044,0.5695695695695696,-0.07756563301440803,0.07292254956190942,0.002,0.571,False,False,inconclusive,,True,False,False
balanced,PC,P1,P3,7,7,-0.735586384401118,-0.901322606148173,-0.16573622174705493,999,True,-0.10189648588458697,0.06383973586246797,0.38518879692997693,0.035592379847464516,0.0007966668738053169,-0.17129396150604825,-0.032608258992782406,-0.29886418450132746,-0.16017848198806162,0.997997997997998,0.002002002002002002,-0.17275255597656738,-0.04357304538614202,0.001,0.003,True,False,left,0.01,True,True,True
