cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
full,COMUNES,P1,5,2,-0.825008541884477,999,-0.8838844378532085,-0.05887589596873144,0.01704246158096139,-0.9180151884062976,-0.8499851773020914,-0.8000319064668626,-0.7320018953626565
full,COMUNES,P2,8,1,-0.839725677005907,999,-0.8666486249527823,-0.02692294794687533,0.01975174981558454,-0.9053047979824832,-0.8287670425165451,-0.8506843114952688,-0.7741465560293307
full,COMUNES,P3,12,1,-0.828296659615552,999,-0.812232714837387,0.016063944778164974,0.04040148608918159,-0.8903486941978268,-0.7327166080596585,-0.9238767111714454,-0.7662446250332772
full,DC,P1,5,15,-0.044760456162685,999,-0.06220494660021402,-0.01744449043752902,0.015874477157364186,-0.09444309507337446,-0.0326642176768067,-0.0568566946485633,0.004922182748004461
full,DC,P2,8,14,-0.1715803064734725,999,-0.17248059614034825,-0.0009002896668757476,0.012663057993448945,-0.1988068281068885,-0.14873775820412546,-0.19442285474281953,-0.1443537848400565
full,DC,P3,12,14,-0.34047036430029454,999,-0.32004151101196776,0.020428853288326776,0.036755397050553223,-0.39027458019723743,-0.2398267920555014,-0.4411139365450877,-0.29066614840335164
full,EVOP,P1,5,6,0.6782538439126959,999,0.7215672023401745,0.04331335842747852,0.01998050210711549,0.684499744876208,0.762251251477187,0.5942564363482049,0.6720079429491839
full,EVOP,P2,8,6,0.6751764274662135,999,0.704397923058519,0.02922149559230547,0.01665880396651008,0.6712193551351577,0.7396446776645362,0.6107081772678908,0.6791334997972693
full,EVOP,P3,12,6,0.689692482330625,999,0.6904428785143925,0.0007503961837674877,0.038824521011188814,0.6154697151376964,0.7681079722388563,0.6112769924223936,0.7639152495235535
full,FRVS,P1,5,1,-0.650312881306413,999,-0.7028947163573697,-0.052581835050956705,0.018841398664547124,-0.7380453599048435,-0.6672625843239309,-0.633363178288895,-0.5625804027079824
full,FRVS,P2,8,1,-0.639562775792681,999,-0.663684451306732,-0.02412167551405109,0.017551582637944613,-0.6958947370193797,-0.6261646881701007,-0.6529608634152612,-0.5832308145659822
full,FRVS,P3,12,1,-0.625229301774373,999,-0.611404097905882,0.013825203868490954,0.03810858306455104,-0.6853056787387585,-0.5338378823197049,-0.7166207212290411,-0.5651529248099875
full,IND,P1,5,13,-0.554388833335475,999,-0.5999598805058354,-0.045571047170360424,0.016669363814468097,-0.6304769246533939,-0.5665805239071537,-0.5421971427637962,-0.478300742017556
full,IND,P2,8,11,-0.532194455682746,999,-0.5484711328814268,-0.016276677198680756,0.01377034303763361,-0.5758320891857482,-0.5216201451982273,-0.5427687661672648,-0.48855682217974383
full,IND,P3,12,11,-0.775545381012329,999,-0.7511340154056338,0.0244113656066951,0.03417174424506961,-0.8175346784757547,-0.6828800963036671,-0.8682106657209908,-0.7335560835489032
full,LIBERAL,P1,5,2,-0.5714371538763365,999,-0.6322431191884157,-0.06080596531207916,0.01532437569667304,-0.6611311867879242,-0.6030147509661546,-0.5398595567865184,-0.4817431209647489
full,LIBERAL,P2,8,2,-0.6008448048626356,999,-0.6294052668611446,-0.028560461998509035,0.013846781923003064,-0.6565333753329498,-0.6036435761654534,-0.5980460335598178,-0.5451562343923214
full,LIBERAL,P3,12,2,-0.6400550061777015,999,-0.6256214637581166,0.014433542419584944,0.032972003700235654,-0.6930553586177887,-0.5611535948151063,-0.7189564175402967,-0.5870546537376143
full,PC,P1,5,8,-0.7357652976836899,999,-0.7830620495723557,-0.04729675188866578,0.014278512927088389,-0.8110748053905384,-0.7548802669136158,-0.7166503284537641,-0.6604557899768414
full,PC,P2,8,8,-0.8065372379271535,999,-0.8278506761863162,-0.021313438259162765,0.01200572442063744,-0.8515273131246023,-0.804338939343681,-0.808735536510626,-0.7615471627297047
full,PC,P3,12,8,-0.9007285965413125,999,-0.8784891842069809,0.022239412334331687,0.02679921698193623,-0.9283360674801019,-0.8271729160045915,-0.9742842770780336,-0.8731211256025232
full,PCS,P2,8,2,-0.7660638571094265,999,-0.7965917880405292,-0.03052793093110273,0.016284913401823597,-0.8271093962349055,-0.7633897628148812,-0.7687379514039717,-0.7050183179839474
full,PCS,P3,12,1,-0.772951210860945,999,-0.7639945698285732,0.008956641032371815,0.03960320581922931,-0.8332854115832565,-0.6866478892431457,-0.8592545324787443,-0.7126170101386334
full,PEV,P1,5,1,-0.85883701866152,999,-0.907106131146712,-0.048269112485192056,0.026658838652183065,-0.947152435590559,-0.8693251593364608,-0.8483488779865791,-0.770521601732481
full,PEV,P2,8,1,-0.895505235301001,999,-0.9107817526430338,-0.015276517342032836,0.025063030041330724,-0.9465879619373284,-0.8739248156914227,-0.9170856549105794,-0.8444225086646736
full,PEV,P3,12,1,-0.944396190820311,999,-0.9156825813047961,0.028713609515514937,0.03966998067767769,-0.9879011839897177,-0.839202514290778,-1.049589867349844,-0.9008911976509043
full,PH,P1,5,3,-0.899887491424543,999,-0.9414100530840726,-0.0415225616595295,0.018071830448915235,-0.9798759005543058,-0.9084207018452815,-0.8913542810038046,-0.8198990822947803
full,PH,P2,8,2,-0.90519762497366,999,-0.9175753634089482,-0.012377738435288221,0.019402842838836434,-0.9468846187854242,-0.8841307700790114,-0.9262644798683085,-0.8635106311618957
full,PH,P3,12,2,-0.9222385018021866,999,-0.8937959362415993,0.02844256556058733,0.033952648505784305,-0.9572116606272143,-0.8278200312757851,-1.016656972328588,-0.8872653429771589
full,PPD,P1,5,6,-0.498370304473027,999,-0.5488067893093429,-0.05043648483631591,0.015375482895331465,-0.5773620543824497,-0.5178297778947187,-0.47891083105133525,-0.4193785545636043
full,PPD,P2,8,7,-0.563762217404413,999,-0.5907267328203712,-0.026964515415958235,0.013888411890962182,-0.6176404442680639,-0.5642608772500947,-0.5632635575587314,-0.5098839905407622
full,PPD,P3,12,7,-0.725096992476606,999,-0.7082877159146328,0.016809276561973174,0.03034292333529534,-0.7642249486270621,-0.649721772017231,-0.8004722129359809,-0.6859690363261498
full,PR,P1,5,6,-0.2330479200152035,999,-0.26354973183324015,-0.030501811818036656,0.015240698389989208,-0.29283375852027915,-0.23419013304369052,-0.23190570698671648,-0.17326208151012784
full,PR,P2,8,6,-0.3028728080782735,999,-0.31028174516113954,-0.007408937082866052,0.011856893027622993,-0.33320765344576075,-0.2872813981414558,-0.31846421801509117,-0.27253796271078623
full,PR,P3,12,6,-0.44982209157550646,999,-0.4279811978095406,0.021840893765965874,0.03295493205960952,-0.49140709742548505,-0.36266483932137794,-0.536979343829635,-0.40823708572552786
full,PREP,P3,12,1,0.883440199908759,999,0.9049105032302253,0.021470303321466266,0.04369972152909191,0.8214744169767975,0.991999856907182,0.774880542910336,0.9454059828407205
full,PRI,P1,5,1,-0.648184850333521,999,-0.6995718069536175,-0.05138695662009651,0.018278483203813853,-0.7356969708183655,-0.664517898225822,-0.6318518024412201,-0.5606727298486766
full,PRI,P2,8,1,-0.665608703422343,999,-0.6901286716323118,-0.024519968209968823,0.017436786844421837,-0.7236016581738484,-0.6551881075003949,-0.6760292993442911,-0.6076157486708377
full,PRI,P3,12,1,-0.688840507540772,999,-0.6775378245372377,0.01130268300353432,0.03779413176605647,-0.7477926128295946,-0.6036164930172102,-0.7740645220643337,-0.6298884022519493
full,PRO,P2,8,1,-0.807806208531565,999,-0.8266132307355986,-0.01880702220403352,0.01831707776921701,-0.861823205429487,-0.7918656468340256,-0.8237467702291045,-0.7537892116336431
full,PRO,P3,12,1,-0.908890778604038,999,-0.8960333022700292,0.0128574763340088,0.04164786595763735,-0.9800920793177285,-0.8141450014642786,-1.0036365557437974,-0.8376894778903475
full,PS,P1,5,18,-0.5511791654031875,999,-0.5955901431322241,-0.04441097772903668,0.01481435750053217,-0.623692014420456,-0.5653853689763663,-0.5369729618300086,-0.47866631638591894
full,PS,P2,8,18,-0.6040626547048135,999,-0.6289331587504837,-0.02487050404567026,0.011787501313355715,-0.6507769142123888,-0.6054072613847645,-0.6027180480248624,-0.5573483951972381
full,PS,P3,12,18,-0.7041165625395276,999,-0.6867612512136488,0.017355311325878753,0.02918035712913299,-0.7421433767258047,-0.6296904726822956,-0.7785426523967596,-0.6660897483532505
full,RD,P1,5,8,-0.6593794700681386,999,-0.7268719834242803,-0.0674925133561417,0.01322742430191244,-0.7537138943144898,-0.7006979853804899,-0.6180609547557873,-0.5650450458217874
full,RD,P2,8,10,-0.713187471087967,999,-0.7450550689742241,-0.03186759788625715,0.012248775642705843,-0.7697140233535054,-0.7208665639903338,-0.7055083781856002,-0.6566609188224286
